account_id,customer_id,product_type,original_balance,current_balance,interest_rate_band,fees_accrued,days_past_due,loan_tenure_months,legal_stage,region_id
A10081,C0063,Telecom,409303,479535,Medium,5906,120,12,Pre-Legal,R02
A10082,C0063,Personal Loan,308514,241090,Medium,12086,30,36,Pre-Legal,R02
A10083,C0064,Telecom,162321,135902,Low,13381,60,24,Pre-Legal,R02
A10084,C0065,Credit Card,137341,404929,High,9780,120,12,Legal,R01
A10085,C0066,Telecom,343671,407515,Medium,17673,60,12,Pre-Legal,R01
A10086,C0067,Telecom,97514,105135,High,14272,120,60,Pre-Legal,R02
A10087,C0068,Credit Card,149344,157832,High,18718,120,12,Pre-Legal,R03
A10088,C0069,Personal Loan,135074,463499,High,23005,60,24,Legal,R02
A10089,C0070,Personal Loan,282199,264084,High,3701,60,48,Pre-Legal,R02
A10090,C0071,Telecom,343923,184524,Low,18799,240,48,Pre-Legal,R02
A10091,C0072,Credit Card,39622,307552,Low,15907,60,60,Pre-Legal,R03
A10092,C0073,Telecom,263876,18196,Medium,2761,60,60,Pre-Legal,R02
A10093,C0074,Personal Loan,414321,131074,High,10219,30,48,Legal,R01
A10094,C0074,Credit Card,396826,72175,High,19476,180,12,Pre-Legal,R01
A10095,C0075,Personal Loan,35401,421100,Medium,2146,240,12,Legal,R02
A10096,C0075,Personal Loan,485448,305006,Low,7562,240,36,Legal,R03
A10097,C0076,Personal Loan,354716,270792,Medium,19631,30,24,Legal,R01
A10098,C0076,Personal Loan,431811,75148,High,2189,60,60,Legal,R02
A10099,C0077,Personal Loan,86354,127743,Low,1624,120,24,Pre-Legal,R03
A10100,C0078,Personal Loan,371296,41382,Medium,22919,180,12,Charged-Off,R02
A10101,C0079,Personal Loan,374620,319393,Medium,13876,30,60,Pre-Legal,R01
A10102,C0079,Credit Card,132150,446599,Low,16516,120,60,Pre-Legal,R02
A10103,C0080,Personal Loan,318303,54710,High,15292,60,60,Pre-Legal,R02
A10104,C0081,Credit Card,38320,109154,High,17852,120,12,Pre-Legal,R02
A10105,C0081,Telecom,359330,308128,High,20415,120,36,Legal,R02
A10106,C0082,Telecom,445665,106679,Low,10472,60,24,Pre-Legal,R01
A10107,C0083,Telecom,197476,165641,Medium,22169,120,60,Pre-Legal,R01
A10108,C0084,Personal Loan,29569,364337,Medium,22118,180,48,Pre-Legal,R02
A10109,C0085,Credit Card,423311,379688,Medium,5798,30,60,Legal,R02
A10110,C0086,Personal Loan,251110,46385,Low,20300,240,24,Pre-Legal,R03
A10111,C0086,Personal Loan,65784,383449,Medium,9359,60,12,Pre-Legal,R01
A10112,C0087,Credit Card,24922,478144,Medium,14041,30,24,Pre-Legal,R01
A10113,C0088,Credit Card,86691,156154,High,7586,240,48,Pre-Legal,R03
A10114,C0089,Personal Loan,34274,331689,High,18177,120,24,Pre-Legal,R02
A10115,C0090,Credit Card,458206,121748,Low,16591,120,36,Pre-Legal,R03
A10116,C0091,Credit Card,91309,224394,Medium,2385,60,60,Pre-Legal,R03
A10117,C0092,Credit Card,258515,415007,Medium,19615,120,48,Legal,R03
A10118,C0093,Personal Loan,338275,43876,Medium,20471,120,60,Legal,R02
A10119,C0094,Credit Card,494587,411562,Low,23908,120,24,Pre-Legal,R02
A10120,C0095,Credit Card,355417,389472,High,17776,30,12,Legal,R02
A10121,C0096,Personal Loan,449358,453895,High,11460,120,48,Pre-Legal,R02
A10122,C0097,Personal Loan,446941,218754,Medium,24297,60,36,Charged-Off,R02
A10123,C0098,Credit Card,128237,391620,Medium,22274,30,12,Pre-Legal,R03
A10124,C0099,Credit Card,275539,27213,Low,14662,30,48,Legal,R01
A10125,C0100,Telecom,482166,392988,Medium,12620,180,60,Charged-Off,R03
A10126,C0100,Credit Card,144034,36605,Low,14103,120,12,Pre-Legal,R02
A10127,C0101,Personal Loan,463098,424144,Low,2148,60,36,Pre-Legal,R01
A10128,C0102,Telecom,362902,158435,Medium,10358,30,12,Pre-Legal,R02
A10129,C0103,Credit Card,228271,86688,High,11662,60,48,Pre-Legal,R01
A10130,C0104,Telecom,86188,201023,Medium,4290,30,48,Pre-Legal,R03
A10131,C0105,Credit Card,384691,123541,Medium,23391,180,24,Charged-Off,R01
A10132,C0106,Credit Card,156984,167586,Medium,6949,240,12,Legal,R01
A10133,C0106,Personal Loan,114488,273490,High,13176,60,36,Pre-Legal,R02
A10134,C0107,Telecom,218017,88741,Medium,18605,120,24,Pre-Legal,R02
A10135,C0108,Personal Loan,228270,174815,Medium,18190,240,12,Pre-Legal,R03
A10136,C0109,Credit Card,147337,299764,Low,2931,240,12,Pre-Legal,R01
A10137,C0110,Credit Card,382355,134502,Medium,11957,120,60,Legal,R03
A10138,C0111,Credit Card,395194,240864,High,7695,120,48,Pre-Legal,R01
A10139,C0112,Credit Card,281413,183678,High,11867,60,48,Charged-Off,R02
A10140,C0112,Credit Card,434750,368414,Low,7933,120,60,Pre-Legal,R02
A10141,C0113,Credit Card,221002,37228,Medium,11819,60,12,Pre-Legal,R01
A10142,C0114,Telecom,212828,214847,Medium,14246,60,12,Pre-Legal,R01
A10143,C0115,Credit Card,88049,335326,High,14395,120,24,Charged-Off,R01
A10144,C0116,Personal Loan,289580,363857,High,13138,60,12,Legal,R02
A10145,C0117,Credit Card,207167,342091,Medium,5007,240,24,Pre-Legal,R02
A10146,C0118,Credit Card,419749,457611,Low,13255,180,24,Legal,R01
A10147,C0119,Personal Loan,390298,214988,High,6329,180,24,Pre-Legal,R01
A10148,C0120,Credit Card,20148,409970,Medium,14091,120,48,Legal,R02
A10149,C0120,Credit Card,443913,462760,High,19936,180,60,Pre-Legal,R01
A10150,C0121,Personal Loan,198168,165616,Medium,3086,120,12,Pre-Legal,R03
A10151,C0121,Telecom,435427,437696,Low,10235,60,36,Pre-Legal,R02
A10152,C0122,Credit Card,210128,132928,Low,9976,60,36,Pre-Legal,R02
A10153,C0122,Telecom,312321,405166,Low,17179,180,12,Legal,R03
A10154,C0123,Credit Card,458598,114290,Medium,24642,60,36,Pre-Legal,R02
A10155,C0124,Telecom,329320,31105,Low,9761,60,36,Pre-Legal,R01
A10156,C0124,Personal Loan,105001,249824,High,2607,30,24,Legal,R02
A10157,C0125,Telecom,58598,153595,Medium,18574,180,36,Pre-Legal,R03
A10158,C0125,Credit Card,173463,281755,High,14580,180,36,Pre-Legal,R02
A10159,C0126,Telecom,491769,170887,High,7932,60,12,Legal,R01
A10160,C0127,Personal Loan,295236,373062,Low,6631,120,24,Pre-Legal,R02
A10161,C0128,Credit Card,348393,52361,Medium,20872,30,12,Charged-Off,R01
A10162,C0129,Credit Card,117243,144380,Low,16017,180,12,Charged-Off,R01
A10163,C0130,Telecom,205221,233712,Low,756,30,24,Legal,R03
A10164,C0131,Credit Card,467489,469472,Low,14767,60,60,Legal,R02
A10165,C0132,Credit Card,475619,228968,Low,545,60,12,Pre-Legal,R03
A10166,C0132,Credit Card,225591,408852,High,13525,60,12,Pre-Legal,R01
A10167,C0133,Credit Card,363822,88309,High,13001,60,24,Pre-Legal,R02
A10168,C0134,Personal Loan,151066,215940,Low,20784,60,24,Legal,R03
A10169,C0135,Telecom,347370,322311,Medium,2345,60,12,Pre-Legal,R02
A10170,C0136,Personal Loan,447562,393994,Medium,10340,30,60,Pre-Legal,R03
A10171,C0137,Telecom,383157,263182,High,13291,60,48,Pre-Legal,R01
A10172,C0137,Credit Card,185029,422124,Medium,23488,120,36,Legal,R03
A10173,C0138,Credit Card,391024,377470,Low,20625,60,36,Legal,R03
A10174,C0139,Credit Card,189809,148692,Medium,24229,120,12,Legal,R03
A10175,C0140,Credit Card,379295,63926,Low,9841,120,48,Legal,R03
A10176,C0141,Credit Card,291978,117192,Medium,11346,30,60,Pre-Legal,R03
A10177,C0142,Telecom,260822,71888,Medium,6583,60,48,Pre-Legal,R03
A10178,C0143,Personal Loan,335315,165594,Low,15135,30,60,Pre-Legal,R01
A10179,C0144,Personal Loan,229486,161192,High,11325,120,24,Pre-Legal,R01
A10180,C0145,Telecom,253984,92442,Medium,7110,60,12,Pre-Legal,R01
A10181,C0146,Credit Card,222509,316041,Medium,10915,180,60,Legal,R01
A10182,C0147,Credit Card,162617,76480,Medium,23321,120,12,Pre-Legal,R03
A10183,C0147,Personal Loan,203744,106891,Low,3718,240,12,Charged-Off,R02
A10184,C0148,Personal Loan,311813,325768,High,11609,120,12,Legal,R02
A10185,C0148,Credit Card,133694,249456,Medium,17748,120,24,Pre-Legal,R01
A10186,C0149,Credit Card,325009,68811,Low,20367,30,60,Pre-Legal,R01
A10187,C0149,Telecom,190231,300815,Medium,12090,30,60,Pre-Legal,R02
A10188,C0150,Credit Card,321364,294302,Medium,22991,240,48,Pre-Legal,R01
A10189,C0151,Credit Card,259073,101649,High,19703,60,24,Pre-Legal,R01
A10190,C0152,Telecom,496377,413422,Medium,17682,60,48,Legal,R01
A10191,C0153,Credit Card,328872,332545,Medium,1995,240,60,Legal,R01
A10192,C0154,Telecom,86433,228702,Low,24072,30,36,Pre-Legal,R01
A10193,C0155,Credit Card,358916,37024,Low,17876,30,48,Charged-Off,R02
A10194,C0155,Telecom,481328,117488,Low,2897,120,36,Pre-Legal,R01
A10195,C0156,Credit Card,164352,422962,Medium,19785,120,36,Legal,R03
A10196,C0157,Personal Loan,262955,460450,High,16403,60,48,Pre-Legal,R03
A10197,C0158,Personal Loan,249920,435873,Low,11059,30,36,Charged-Off,R03
A10198,C0158,Telecom,244691,97016,Medium,3208,180,12,Pre-Legal,R01
A10199,C0159,Credit Card,175855,393769,High,22036,30,12,Legal,R03
A10200,C0160,Telecom,455008,65613,Low,886,60,24,Pre-Legal,R03
A10201,C0160,Credit Card,141716,202486,High,13680,120,12,Pre-Legal,R03
A10202,C0161,Telecom,137919,410813,Medium,4483,60,48,Legal,R03
A10203,C0162,Telecom,308516,469923,Low,10454,60,24,Pre-Legal,R01
A10204,C0163,Telecom,271942,449010,Medium,17924,120,36,Legal,R03
A10205,C0164,Credit Card,120588,380500,Low,18473,180,60,Pre-Legal,R02
A10206,C0165,Credit Card,477301,257431,Medium,20567,120,48,Pre-Legal,R02
A10207,C0166,Credit Card,284012,98591,High,8132,30,60,Legal,R01
A10208,C0167,Telecom,39159,137366,High,5137,60,12,Pre-Legal,R01
A10209,C0168,Telecom,230126,231351,Medium,5217,240,24,Pre-Legal,R02
A10210,C0169,Personal Loan,381732,345828,Low,6107,240,48,Legal,R03
A10211,C0169,Credit Card,118662,310761,High,19428,120,12,Pre-Legal,R01
A10212,C0170,Telecom,368302,70264,Medium,5222,180,48,Pre-Legal,R01
A10213,C0171,Personal Loan,306298,428270,Medium,20407,180,36,Pre-Legal,R02
A10214,C0171,Personal Loan,392958,296608,Low,1002,60,24,Pre-Legal,R01
A10215,C0172,Personal Loan,239073,35156,High,18213,60,12,Pre-Legal,R02
A10216,C0173,Telecom,447557,257735,Medium,3268,240,36,Legal,R02
A10217,C0174,Credit Card,370041,87577,Low,6376,240,36,Legal,R02
A10218,C0175,Personal Loan,217687,322422,Medium,19731,60,24,Pre-Legal,R01
A10219,C0176,Personal Loan,363288,444643,Medium,11215,120,24,Legal,R02
A10220,C0177,Personal Loan,136049,144651,Low,8355,30,36,Legal,R01
A10221,C0177,Telecom,28625,316343,High,12204,120,60,Legal,R01
A10222,C0178,Credit Card,482326,35169,Medium,24634,180,60,Pre-Legal,R02
A10223,C0179,Credit Card,137419,318931,Low,18593,60,60,Pre-Legal,R01
A10224,C0180,Credit Card,236096,248731,Medium,18215,60,48,Charged-Off,R03
A10225,C0181,Credit Card,331776,446247,High,15800,240,60,Pre-Legal,R01
A10226,C0182,Personal Loan,348477,195378,Low,20964,120,24,Pre-Legal,R03
A10227,C0183,Credit Card,482176,407102,High,13918,120,24,Pre-Legal,R03
A10228,C0184,Personal Loan,38402,188917,High,2814,60,12,Pre-Legal,R02
A10229,C0185,Credit Card,141844,372054,Medium,14710,120,12,Pre-Legal,R01
A10230,C0185,Personal Loan,254745,69796,Low,4523,180,36,Legal,R02
A10231,C0186,Credit Card,51017,369182,High,8134,120,24,Pre-Legal,R03
A10232,C0187,Credit Card,162954,390286,Low,13379,30,48,Pre-Legal,R02
A10233,C0188,Telecom,125928,138014,Medium,23091,30,12,Pre-Legal,R01
A10234,C0189,Personal Loan,412561,295943,Medium,24055,60,24,Pre-Legal,R01
A10235,C0190,Personal Loan,92908,84109,High,9922,60,60,Pre-Legal,R01
A10236,C0191,Telecom,44435,102212,Medium,22287,180,12,Pre-Legal,R01
A10237,C0192,Personal Loan,356178,319466,Low,9024,120,12,Charged-Off,R01
A10238,C0192,Telecom,239739,138182,High,8363,60,36,Pre-Legal,R03
A10239,C0193,Credit Card,196540,225774,Medium,14567,30,48,Charged-Off,R02
A10240,C0194,Telecom,218691,192218,High,18574,120,12,Pre-Legal,R01
A10241,C0195,Telecom,266661,179512,Low,10768,240,24,Legal,R01
A10242,C0196,Credit Card,305356,297781,High,21949,240,60,Pre-Legal,R03
A10243,C0197,Personal Loan,36375,253117,High,4850,240,48,Charged-Off,R03
A10244,C0198,Telecom,82999,327051,High,10355,120,60,Pre-Legal,R02
A10245,C0199,Credit Card,365753,175477,Medium,6289,30,24,Pre-Legal,R01
A10246,C0200,Credit Card,282440,82945,Low,1961,60,60,Legal,R03
A10247,C0201,Credit Card,103337,328612,High,23088,180,60,Pre-Legal,R02
A10248,C0202,Credit Card,113697,190793,Low,19413,120,36,Pre-Legal,R01
A10249,C0203,Personal Loan,146417,131585,Medium,13965,30,48,Legal,R01
A10250,C0204,Personal Loan,393377,240784,Medium,18148,120,36,Pre-Legal,R03
A10251,C0205,Telecom,148501,131361,High,22237,120,36,Pre-Legal,R02
A10252,C0206,Credit Card,347597,299833,High,8752,180,36,Pre-Legal,R02
A10253,C0207,Personal Loan,126968,327254,High,23926,60,24,Pre-Legal,R03
A10254,C0208,Credit Card,383633,195249,High,23535,180,60,Legal,R03
A10255,C0208,Personal Loan,236651,456210,Medium,17478,30,48,Legal,R01
A10256,C0209,Credit Card,335524,260720,Medium,18714,120,48,Pre-Legal,R03
A10257,C0210,Telecom,387720,363737,Medium,6692,180,48,Pre-Legal,R02
A10258,C0211,Personal Loan,373857,381204,Medium,22556,60,24,Legal,R02
A10259,C0212,Personal Loan,283894,80018,Low,12028,180,12,Legal,R03
A10260,C0213,Personal Loan,208489,393191,High,18825,60,48,Pre-Legal,R02
A10261,C0213,Credit Card,227836,147915,Medium,16559,60,12,Pre-Legal,R02
A10262,C0214,Credit Card,244839,234882,High,13242,240,12,Pre-Legal,R02
A10263,C0214,Personal Loan,366929,473253,Low,13214,30,48,Pre-Legal,R03
A10264,C0215,Telecom,470357,224304,High,21576,30,12,Pre-Legal,R03
A10265,C0216,Credit Card,112889,103952,High,20262,120,48,Legal,R01
A10266,C0217,Personal Loan,274084,144466,Medium,17148,120,36,Pre-Legal,R02
A10267,C0218,Credit Card,339753,175389,Medium,7544,30,36,Charged-Off,R03
A10268,C0219,Credit Card,370129,321172,Low,1134,240,36,Pre-Legal,R02
A10269,C0220,Credit Card,185229,388519,Medium,12806,30,12,Pre-Legal,R03
A10270,C0220,Credit Card,421461,111950,High,16726,240,12,Legal,R02
A10271,C0221,Credit Card,228502,149011,High,1531,30,36,Pre-Legal,R01
A10272,C0222,Credit Card,462602,102122,Low,10109,60,12,Pre-Legal,R01
A10273,C0222,Telecom,99993,476691,Medium,5935,30,24,Pre-Legal,R02
A10274,C0223,Credit Card,211175,263535,Medium,20371,120,36,Legal,R03
A10275,C0224,Telecom,255020,64892,High,18884,30,12,Pre-Legal,R02
A10276,C0225,Telecom,166511,405820,High,6435,120,36,Pre-Legal,R01
A10277,C0225,Personal Loan,282713,468116,Low,3322,60,12,Pre-Legal,R01
A10278,C0226,Credit Card,441973,216466,Medium,23883,120,12,Pre-Legal,R02
A10279,C0227,Credit Card,246301,448220,Low,17993,30,12,Pre-Legal,R02
A10280,C0228,Credit Card,451812,232986,Low,24498,60,48,Legal,R02
A10281,C0229,Personal Loan,477519,469055,Low,13307,180,36,Legal,R03
A10282,C0230,Credit Card,81606,296035,Medium,7994,30,24,Pre-Legal,R03
A10283,C0230,Credit Card,371324,124384,Medium,9021,120,12,Pre-Legal,R01
A10284,C0231,Credit Card,107695,145066,Medium,17509,180,60,Pre-Legal,R02
A10285,C0232,Telecom,92788,354401,Medium,4687,30,60,Legal,R02
A10286,C0233,Personal Loan,93601,44873,High,8828,120,60,Pre-Legal,R02
A10287,C0234,Credit Card,248978,39918,Medium,12429,30,24,Charged-Off,R03
A10288,C0235,Credit Card,447499,97494,Medium,14298,30,12,Pre-Legal,R02
A10289,C0236,Personal Loan,172215,106627,Medium,539,120,60,Legal,R01
A10290,C0237,Credit Card,234275,220383,Low,15364,120,12,Pre-Legal,R01
A10291,C0238,Personal Loan,255892,228408,High,23586,180,24,Legal,R02
A10292,C0239,Telecom,363625,277399,High,15987,60,36,Legal,R01
A10293,C0239,Credit Card,401784,332176,High,22476,60,60,Pre-Legal,R02
A10294,C0240,Telecom,260464,273445,Medium,22580,120,12,Legal,R03
A10295,C0241,Credit Card,32938,145842,Medium,19354,60,24,Pre-Legal,R03
A10296,C0242,Telecom,21950,269043,Medium,22195,60,48,Pre-Legal,R03
A10297,C0243,Telecom,185458,386427,Low,12526,120,36,Pre-Legal,R03
A10298,C0243,Credit Card,477141,85825,High,19312,120,60,Pre-Legal,R03
A10299,C0244,Credit Card,351301,440658,Medium,17638,240,36,Pre-Legal,R02
A10300,C0245,Personal Loan,39199,417282,High,4307,120,48,Pre-Legal,R03
A10301,C0246,Personal Loan,145607,261834,Medium,1088,60,12,Pre-Legal,R02
A10302,C0247,Credit Card,51655,58039,High,22721,30,48,Pre-Legal,R03
A10303,C0248,Credit Card,25914,229772,Low,15183,60,60,Pre-Legal,R01
A10304,C0249,Telecom,210093,89176,High,6778,180,12,Legal,R03
A10305,C0250,Telecom,252974,62800,Low,21067,240,60,Charged-Off,R03
A10306,C0250,Personal Loan,419029,337038,Medium,19176,60,36,Legal,R03
A10307,C0251,Credit Card,348721,382375,Medium,24864,240,36,Legal,R02
A10308,C0252,Personal Loan,55814,205766,Medium,576,30,48,Legal,R01
A10309,C0253,Personal Loan,87021,226321,Low,2919,180,12,Pre-Legal,R01
A10310,C0254,Credit Card,360641,123611,Medium,10164,60,48,Pre-Legal,R03
A10311,C0254,Credit Card,285161,363405,Low,18681,30,60,Pre-Legal,R01
A10312,C0255,Telecom,286890,345679,High,11802,60,60,Charged-Off,R02
A10313,C0255,Credit Card,154670,25564,Low,17457,180,60,Pre-Legal,R02
A10314,C0256,Personal Loan,493050,471195,Medium,19080,120,60,Pre-Legal,R03
A10315,C0257,Personal Loan,204750,46323,Low,22327,240,24,Legal,R01
A10316,C0257,Credit Card,363127,435586,Medium,8471,120,48,Legal,R03
A10317,C0258,Credit Card,164526,150004,Low,2929,30,24,Legal,R03
A10318,C0259,Credit Card,164854,391924,Medium,551,180,60,Legal,R03
A10319,C0260,Credit Card,148259,45916,Medium,15090,60,12,Pre-Legal,R03
A10320,C0261,Telecom,181940,303453,Medium,15455,60,48,Pre-Legal,R02
A10321,C0262,Telecom,413471,409718,Medium,10802,30,24,Legal,R01
A10322,C0262,Personal Loan,499490,294250,Low,17497,60,60,Legal,R03
A10323,C0263,Credit Card,478128,69645,Medium,22498,60,24,Legal,R02
A10324,C0263,Telecom,226040,277463,Medium,21084,120,24,Legal,R03
A10325,C0264,Credit Card,464161,70609,High,6203,240,24,Pre-Legal,R03
A10326,C0265,Credit Card,187995,306946,Medium,3111,180,60,Pre-Legal,R02
A10327,C0266,Personal Loan,128654,420737,Low,7060,120,60,Pre-Legal,R03
A10328,C0267,Telecom,307374,107554,Medium,9454,60,60,Pre-Legal,R01
A10329,C0268,Credit Card,266052,369095,Low,6893,60,36,Legal,R02
A10330,C0269,Personal Loan,34497,410032,Medium,11213,30,60,Pre-Legal,R03
A10331,C0270,Credit Card,241171,402314,Medium,13309,30,60,Pre-Legal,R03
A10332,C0271,Credit Card,60985,309153,Medium,18218,60,24,Pre-Legal,R01
A10333,C0272,Credit Card,390707,236516,High,1410,60,24,Pre-Legal,R02
A10334,C0273,Credit Card,321857,345080,Medium,19227,180,24,Pre-Legal,R02
A10335,C0274,Credit Card,235494,267615,Medium,1476,240,24,Legal,R02
A10336,C0275,Credit Card,133828,400996,High,6729,30,60,Legal,R02
A10337,C0276,Credit Card,369033,30250,High,14356,30,48,Legal,R01
A10338,C0277,Personal Loan,342433,425398,High,20159,180,36,Pre-Legal,R02
A10339,C0277,Credit Card,294444,48370,High,10483,120,48,Pre-Legal,R03
A10340,C0278,Credit Card,243274,461983,Medium,7266,120,24,Legal,R01
A10341,C0279,Credit Card,180322,214416,Low,22517,180,12,Pre-Legal,R03
A10342,C0280,Credit Card,195717,236815,High,5923,180,60,Legal,R03
A10343,C0281,Credit Card,157877,228396,High,18504,60,12,Charged-Off,R03
A10344,C0281,Credit Card,381013,292845,Medium,8170,180,24,Pre-Legal,R02
A10345,C0282,Credit Card,84361,409461,High,1037,30,60,Pre-Legal,R03
A10346,C0282,Personal Loan,278466,33740,Low,17069,180,12,Pre-Legal,R02
A10347,C0283,Credit Card,476303,339215,Low,12386,120,24,Pre-Legal,R03
A10348,C0284,Credit Card,270470,326857,Medium,8123,180,60,Pre-Legal,R02
