customer_id,age_band,income_band,employment_status,residential_type,region_type,vulnerability_flag,dataset_split
C0084,<25,High,Retired,Rented,Semi-Urban,No,Train
C0085,25-40,High,Self-Employed,Rented,Urban,No,Train
C0086,25-40,Medium,Self-Employed,Rented,Urban,No,Train
C0087,40-60,Medium,Salaried,Rented,Urban,No,Train
C0088,40-60,Low,Self-Employed,Owned,Semi-Urban,Yes,Train
C0089,60+,High,Unemployed,Rented,Rural,No,Train
C0090,25-40,Low,Salaried,Owned,Urban,Yes,Train
C0091,25-40,High,Unemployed,Rented,Semi-Urban,Yes,Train
C0092,40-60,Medium,Retired,Family,Urban,Yes,Train
C0093,40-60,Medium,Salaried,Owned,Urban,No,Train
C0094,40-60,Medium,Self-Employed,Family,Rural,Yes,Train
C0095,40-60,Low,Salaried,Owned,Urban,Yes,Train
C0096,25-40,Low,Unemployed,Rented,Urban,No,Train
C0097,40-60,Low,Self-Employed,Family,Urban,No,Train
C0098,25-40,Low,Self-Employed,Owned,Urban,No,Train
C0099,<25,Medium,Unemployed,Owned,Urban,No,Train
C0100,25-40,Medium,Salaried,Rented,Urban,Yes,Train
C0101,<25,Low,Retired,Owned,Semi-Urban,No,Train
C0102,40-60,High,Self-Employed,Rented,Urban,No,Train
C0103,25-40,High,Salaried,Family,Semi-Urban,No,Train
C0104,40-60,High,Self-Employed,Rented,Urban,No,Train
C0105,60+,High,Unemployed,Owned,Urban,No,Train
C0106,25-40,Low,Salaried,Rented,Semi-Urban,Yes,Train
C0107,25-40,Medium,Unemployed,Rented,Rural,No,Train
C0108,40-60,Medium,Retired,Owned,Urban,Yes,Train
C0109,25-40,Medium,Salaried,Rented,Rural,No,Train
C0110,<25,Low,Retired,Rented,Semi-Urban,No,Train
C0111,25-40,High,Salaried,Rented,Semi-Urban,No,Train
C0112,25-40,Low,Salaried,Owned,Semi-Urban,No,Train
C0113,60+,Low,Salaried,Rented,Urban,No,Train
C0114,40-60,Medium,Unemployed,Owned,Urban,No,Train
C0115,40-60,Medium,Self-Employed,Owned,Semi-Urban,No,Train
C0116,60+,Medium,Salaried,Family,Urban,No,Train
C0117,40-60,Low,Salaried,Rented,Rural,No,Train
C0118,25-40,High,Self-Employed,Owned,Urban,No,Train
C0119,60+,Low,Salaried,Owned,Urban,No,Train
C0120,40-60,Low,Unemployed,Owned,Semi-Urban,No,Train
C0121,40-60,High,Unemployed,Owned,Urban,No,Train
C0122,60+,High,Self-Employed,Owned,Semi-Urban,No,Train
C0123,25-40,High,Retired,Owned,Semi-Urban,Yes,Train
C0124,25-40,High,Salaried,Rented,Rural,No,Train
C0125,25-40,Medium,Retired,Rented,Semi-Urban,No,Train
C0126,25-40,Medium,Self-Employed,Rented,Semi-Urban,No,Train
C0127,40-60,Low,Self-Employed,Rented,Semi-Urban,No,Train
C0128,60+,Medium,Salaried,Owned,Rural,No,Train
C0129,<25,Medium,Unemployed,Family,Urban,No,Train
C0130,40-60,Low,Salaried,Family,Urban,No,Train
C0131,25-40,Medium,Salaried,Family,Urban,No,Train
C0132,25-40,Medium,Salaried,Family,Urban,No,Train
C0133,25-40,Low,Self-Employed,Family,Semi-Urban,Yes,Train
C0134,25-40,Low,Self-Employed,Rented,Semi-Urban,Yes,Train
C0135,60+,Medium,Unemployed,Owned,Semi-Urban,No,Train
C0136,25-40,Low,Unemployed,Rented,Urban,No,Train
C0137,40-60,High,Salaried,Rented,Semi-Urban,No,Train
C0138,40-60,Medium,Unemployed,Rented,Urban,Yes,Train
C0139,25-40,Medium,Salaried,Rented,Semi-Urban,No,Train
C0140,60+,Medium,Unemployed,Owned,Semi-Urban,No,Train
C0141,60+,High,Unemployed,Owned,Urban,No,Train
C0142,25-40,Low,Self-Employed,Family,Urban,Yes,Train
C0143,25-40,Medium,Unemployed,Rented,Urban,No,Train
C0144,25-40,Medium,Salaried,Rented,Rural,No,Train
C0145,25-40,Low,Self-Employed,Owned,Rural,No,Train
C0146,<25,High,Unemployed,Owned,Semi-Urban,No,Train
C0147,40-60,Medium,Self-Employed,Family,Urban,No,Train
C0148,40-60,Medium,Salaried,Rented,Urban,No,Train
C0149,<25,High,Self-Employed,Rented,Semi-Urban,No,Train
C0150,25-40,High,Unemployed,Rented,Semi-Urban,Yes,Train
C0151,60+,Medium,Salaried,Rented,Urban,No,Train
C0152,25-40,High,Salaried,Owned,Urban,No,Train
C0153,25-40,Medium,Unemployed,Rented,Semi-Urban,No,Train
C0154,25-40,Medium,Unemployed,Rented,Urban,No,Train
C0155,60+,Medium,Salaried,Rented,Urban,No,Train
C0156,25-40,Medium,Salaried,Rented,Urban,No,Train
C0157,40-60,Low,Salaried,Family,Semi-Urban,No,Train
C0158,40-60,High,Salaried,Owned,Rural,No,Train
C0159,25-40,High,Self-Employed,Family,Rural,No,Train
C0160,40-60,Low,Unemployed,Owned,Semi-Urban,No,Train
C0161,25-40,High,Self-Employed,Rented,Semi-Urban,No,Train
C0162,40-60,Low,Self-Employed,Owned,Urban,Yes,Train
C0163,40-60,Low,Salaried,Owned,Semi-Urban,No,Train
C0164,40-60,Medium,Unemployed,Rented,Urban,No,Train
C0165,<25,Low,Self-Employed,Owned,Semi-Urban,Yes,Train
C0166,40-60,High,Retired,Rented,Urban,No,Train
C0167,25-40,High,Self-Employed,Family,Urban,No,Train
C0168,25-40,Medium,Salaried,Owned,Urban,Yes,Train
C0169,<25,Low,Self-Employed,Rented,Urban,No,Train
C0170,40-60,Low,Salaried,Rented,Urban,No,Train
C0171,40-60,Medium,Self-Employed,Rented,Urban,No,Train
C0172,<25,High,Salaried,Owned,Rural,No,Train
C0173,40-60,Medium,Salaried,Owned,Urban,Yes,Train
C0174,25-40,Low,Unemployed,Owned,Semi-Urban,Yes,Train
C0175,40-60,Medium,Salaried,Owned,Rural,No,Train
C0176,25-40,Medium,Unemployed,Owned,Rural,No,Train
C0177,40-60,Medium,Salaried,Rented,Semi-Urban,No,Train
C0178,25-40,Low,Self-Employed,Family,Rural,Yes,Train
C0179,60+,Medium,Self-Employed,Family,Urban,No,Train
C0180,25-40,Medium,Self-Employed,Rented,Urban,No,Train
C0181,25-40,High,Salaried,Owned,Urban,No,Train
C0182,25-40,Low,Salaried,Owned,Semi-Urban,No,Train
C0183,60+,Medium,Salaried,Owned,Semi-Urban,Yes,Train
C0184,60+,High,Salaried,Owned,Urban,No,Train
C0185,25-40,Low,Self-Employed,Rented,Urban,No,Train
C0186,40-60,High,Retired,Rented,Semi-Urban,No,Train
C0187,40-60,Medium,Unemployed,Owned,Urban,No,Train
C0188,40-60,Low,Unemployed,Owned,Semi-Urban,No,Train
C0189,40-60,Low,Unemployed,Family,Semi-Urban,No,Train
C0190,25-40,Medium,Self-Employed,Rented,Semi-Urban,No,Train
C0191,<25,Low,Salaried,Owned,Semi-Urban,No,Train
C0192,60+,Medium,Retired,Family,Rural,No,Train
C0193,60+,Low,Self-Employed,Family,Urban,No,Train
C0194,40-60,Medium,Self-Employed,Owned,Semi-Urban,No,Train
C0195,25-40,Low,Salaried,Owned,Semi-Urban,No,Train
C0196,25-40,High,Salaried,Rented,Urban,No,Train
C0197,40-60,High,Self-Employed,Family,Urban,No,Train
C0198,60+,High,Unemployed,Family,Urban,Yes,Train
C0199,60+,Medium,Self-Employed,Owned,Urban,No,Train
C0200,40-60,Low,Salaried,Owned,Semi-Urban,No,Train
C0201,40-60,Medium,Retired,Rented,Rural,No,Train
C0202,<25,Low,Salaried,Rented,Urban,No,Train
C0203,25-40,Low,Salaried,Owned,Urban,No,Train
C0204,60+,Low,Salaried,Family,Rural,No,Train
C0205,40-60,Medium,Unemployed,Rented,Urban,No,Train
C0206,<25,Medium,Retired,Family,Urban,No,Train
C0207,25-40,Medium,Salaried,Family,Semi-Urban,No,Train
C0208,40-60,Medium,Unemployed,Rented,Semi-Urban,No,Train
C0209,<25,Low,Salaried,Rented,Urban,No,Train
C0210,25-40,High,Retired,Rented,Urban,No,Train
C0211,40-60,Medium,Unemployed,Owned,Urban,No,Train
C0212,40-60,Medium,Unemployed,Rented,Semi-Urban,No,Train
C0213,40-60,Low,Salaried,Owned,Semi-Urban,No,Train
C0214,25-40,Medium,Retired,Rented,Urban,No,Train
C0215,40-60,Medium,Unemployed,Owned,Semi-Urban,No,Train
C0216,25-40,Low,Salaried,Owned,Rural,No,Train
C0217,25-40,Low,Unemployed,Owned,Urban,No,Train
C0218,40-60,Medium,Salaried,Owned,Urban,No,Train
C0219,40-60,Medium,Unemployed,Rented,Semi-Urban,No,Train
C0220,40-60,Low,Salaried,Rented,Urban,Yes,Train
C0221,40-60,High,Unemployed,Rented,Urban,No,Train
C0222,40-60,Low,Self-Employed,Owned,Semi-Urban,No,Train
C0223,<25,Medium,Salaried,Owned,Rural,No,Train
C0224,25-40,High,Salaried,Owned,Rural,No,Train
C0225,25-40,Medium,Salaried,Owned,Semi-Urban,No,Train
C0226,25-40,Medium,Self-Employed,Family,Semi-Urban,Yes,Train
C0227,60+,Medium,Salaried,Owned,Urban,No,Train
C0228,25-40,Low,Self-Employed,Owned,Semi-Urban,No,Train
C0229,60+,High,Salaried,Owned,Urban,No,Train
C0230,40-60,Medium,Salaried,Owned,Urban,No,Train
C0231,40-60,High,Unemployed,Rented,Semi-Urban,No,Train
C0232,40-60,Low,Salaried,Rented,Semi-Urban,No,Train
C0233,40-60,Low,Retired,Owned,Urban,No,Train
C0234,25-40,Low,Unemployed,Owned,Rural,No,Train
C0235,25-40,Medium,Self-Employed,Owned,Urban,No,Train
C0236,40-60,Medium,Self-Employed,Owned,Urban,Yes,Train
C0237,25-40,High,Unemployed,Owned,Urban,No,Train
C0238,<25,Medium,Salaried,Family,Semi-Urban,No,Train
C0239,40-60,High,Salaried,Rented,Semi-Urban,Yes,Train
C0240,25-40,Low,Salaried,Rented,Urban,No,Train
C0241,60+,High,Unemployed,Rented,Semi-Urban,No,Train
C0242,60+,Medium,Salaried,Rented,Urban,No,Train
C0243,60+,Medium,Self-Employed,Rented,Semi-Urban,No,Train
C0244,25-40,High,Retired,Rented,Urban,No,Train
C0245,<25,Medium,Unemployed,Rented,Urban,No,Train
C0246,60+,Medium,Self-Employed,Owned,Rural,No,Train
C0247,25-40,Low,Salaried,Rented,Urban,No,Train
C0248,60+,Low,Unemployed,Rented,Urban,No,Train
C0249,60+,High,Self-Employed,Family,Semi-Urban,No,Train
C0250,60+,Medium,Salaried,Rented,Rural,No,Train
C0251,25-40,Medium,Salaried,Rented,Urban,No,Train
C0252,25-40,Medium,Retired,Owned,Urban,No,Train
C0253,60+,Low,Self-Employed,Rented,Urban,No,Train
C0254,25-40,Low,Unemployed,Owned,Semi-Urban,Yes,Train
C0255,25-40,Medium,Unemployed,Owned,Urban,No,Train
C0256,40-60,Medium,Self-Employed,Owned,Semi-Urban,No,Train
C0257,60+,Low,Self-Employed,Rented,Rural,Yes,Train
C0258,40-60,Medium,Salaried,Owned,Urban,No,Train
C0259,40-60,Low,Salaried,Owned,Urban,No,Train
C0260,<25,Medium,Salaried,Family,Urban,No,Train
C0261,40-60,Low,Unemployed,Owned,Urban,No,Train
C0262,60+,Medium,Self-Employed,Rented,Rural,No,Train
C0263,25-40,Low,Unemployed,Rented,Urban,No,Train
C0264,40-60,Medium,Salaried,Owned,Urban,Yes,Train
C0265,60+,Low,Self-Employed,Rented,Semi-Urban,No,Train
C0266,40-60,Low,Self-Employed,Owned,Urban,No,Train
C0267,40-60,Medium,Self-Employed,Rented,Semi-Urban,No,Train
C0268,40-60,Medium,Unemployed,Rented,Urban,No,Train
C0269,25-40,Medium,Salaried,Rented,Rural,No,Train
C0270,25-40,Low,Self-Employed,Rented,Rural,No,Train
C0271,40-60,Medium,Salaried,Owned,Semi-Urban,No,Train
C0272,40-60,High,Salaried,Owned,Rural,Yes,Train
C0273,60+,Medium,Self-Employed,Rented,Urban,No,Train
C0274,60+,Low,Self-Employed,Rented,Urban,No,Train
C0275,40-60,Medium,Retired,Family,Semi-Urban,No,Train
C0276,40-60,Low,Self-Employed,Family,Semi-Urban,No,Train
C0277,40-60,Low,Unemployed,Family,Urban,No,Train
C0278,40-60,High,Self-Employed,Rented,Urban,No,Train
C0279,40-60,Low,Self-Employed,Owned,Urban,No,Train
C0280,40-60,Medium,Salaried,Rented,Urban,No,Train
C0281,60+,Medium,Salaried,Rented,Urban,No,Train
C0282,25-40,Medium,Salaried,Owned,Semi-Urban,No,Train
C0283,25-40,Medium,Self-Employed,Family,Urban,No,Train
C0284,<25,Low,Salaried,Family,Urban,No,Train
C0285,40-60,Low,Salaried,Rented,Semi-Urban,No,Train
C0286,<25,Medium,Salaried,Owned,Semi-Urban,No,Train
C0287,25-40,Low,Retired,Owned,Rural,No,Train
C0288,40-60,Medium,Salaried,Family,Semi-Urban,Yes,Train
C0289,25-40,Low,Self-Employed,Family,Urban,Yes,Train
C0290,40-60,Low,Salaried,Owned,Rural,No,Train
C0291,<25,Medium,Self-Employed,Owned,Semi-Urban,No,Train
C0292,<25,Low,Salaried,Family,Urban,No,Train
C0293,40-60,Medium,Salaried,Owned,Semi-Urban,Yes,Train
C0294,25-40,Medium,Self-Employed,Rented,Rural,Yes,Train
C0295,25-40,High,Salaried,Family,Urban,No,Train
C0296,40-60,Low,Salaried,Owned,Urban,Yes,Train
C0297,40-60,Low,Salaried,Rented,Urban,No,Train
C0298,25-40,Low,Salaried,Owned,Urban,No,Train
C0299,40-60,Medium,Salaried,Owned,Urban,No,Train
C0300,<25,Medium,Salaried,Family,Semi-Urban,Yes,Train
C0301,<25,Low,Unemployed,Rented,Urban,No,Train
C0302,40-60,High,Self-Employed,Family,Rural,Yes,Train
C0303,40-60,Low,Self-Employed,Rented,Semi-Urban,No,Train
C0304,40-60,Medium,Salaried,Owned,Semi-Urban,No,Train
C0305,40-60,Medium,Retired,Owned,Rural,No,Train
C0306,60+,High,Salaried,Owned,Urban,No,Train
C0307,40-60,Medium,Salaried,Owned,Urban,No,Train
C0308,25-40,High,Self-Employed,Owned,Semi-Urban,No,Train
C0309,40-60,Low,Salaried,Owned,Rural,No,Train
C0310,25-40,High,Salaried,Rented,Semi-Urban,No,Train
C0311,25-40,Low,Self-Employed,Rented,Urban,No,Train
C0312,<25,High,Unemployed,Rented,Rural,No,Train
C0313,<25,Medium,Self-Employed,Rented,Urban,No,Train
C0314,60+,High,Unemployed,Owned,Rural,No,Train
C0315,40-60,Medium,Retired,Owned,Rural,No,Train
C0316,40-60,Medium,Salaried,Rented,Urban,No,Train
C0317,25-40,Medium,Salaried,Rented,Semi-Urban,No,Train
C0318,25-40,Medium,Salaried,Owned,Urban,No,Train
C0319,25-40,Low,Salaried,Family,Urban,Yes,Train
C0320,25-40,Low,Salaried,Rented,Semi-Urban,No,Train
C0321,40-60,Low,Retired,Rented,Semi-Urban,No,Train
C0322,40-60,Low,Unemployed,Owned,Rural,No,Train
C0323,40-60,High,Self-Employed,Rented,Semi-Urban,No,Train
C0324,25-40,Low,Salaried,Rented,Urban,No,Train
C0325,60+,High,Unemployed,Rented,Rural,Yes,Train
C0326,40-60,Low,Retired,Rented,Rural,No,Train
C0327,40-60,Low,Unemployed,Family,Urban,Yes,Train
C0328,40-60,Medium,Salaried,Rented,Rural,No,Train
C0329,25-40,Medium,Self-Employed,Owned,Urban,No,Train
C0330,25-40,Medium,Salaried,Rented,Rural,No,Train
C0331,25-40,Medium,Salaried,Rented,Urban,No,Train
C0332,40-60,Medium,Salaried,Rented,Urban,No,Train
C0333,<25,Low,Self-Employed,Owned,Urban,Yes,Train
C0334,25-40,High,Self-Employed,Owned,Semi-Urban,No,Train
C0335,<25,High,Salaried,Family,Urban,No,Train
C0336,<25,Medium,Salaried,Rented,Urban,No,Train
C0337,60+,Low,Self-Employed,Family,Semi-Urban,No,Train
C0338,40-60,Medium,Salaried,Rented,Rural,No,Train
C0339,25-40,Low,Salaried,Rented,Urban,No,Train
C0340,<25,Low,Salaried,Rented,Urban,Yes,Train
C0341,25-40,Low,Unemployed,Family,Urban,No,Train
C0342,25-40,Medium,Salaried,Rented,Urban,No,Train
C0343,25-40,High,Salaried,Rented,Rural,Yes,Train
C0344,25-40,Medium,Salaried,Owned,Rural,No,Train
C0345,25-40,Medium,Retired,Rented,Semi-Urban,No,Train
C0346,40-60,Medium,Self-Employed,Rented,Urban,No,Train
C0347,40-60,Low,Self-Employed,Owned,Semi-Urban,Yes,Train
C0348,<25,Medium,Salaried,Owned,Semi-Urban,No,Train
C0349,25-40,High,Self-Employed,Owned,Rural,No,Train
C0350,40-60,Low,Salaried,Owned,Semi-Urban,No,Train
C0351,40-60,High,Self-Employed,Owned,Semi-Urban,No,Train
C0352,60+,Medium,Retired,Rented,Semi-Urban,No,Train
C0353,40-60,Medium,Self-Employed,Family,Urban,No,Train
C0354,25-40,Medium,Unemployed,Rented,Rural,No,Train
C0355,<25,Medium,Unemployed,Owned,Semi-Urban,No,Train
C0356,40-60,High,Salaried,Owned,Semi-Urban,No,Train
C0357,<25,High,Retired,Rented,Urban,No,Train
C0358,40-60,Medium,Salaried,Owned,Semi-Urban,No,Train
C0359,60+,Low,Self-Employed,Family,Semi-Urban,No,Train
C0360,40-60,Medium,Salaried,Rented,Urban,No,Train
C0361,25-40,High,Salaried,Rented,Urban,No,Train
C0362,40-60,Low,Salaried,Owned,Semi-Urban,No,Train
C0363,25-40,Medium,Salaried,Rented,Semi-Urban,No,Train
C0364,40-60,Medium,Self-Employed,Owned,Semi-Urban,No,Train
C0365,60+,Medium,Self-Employed,Family,Urban,No,Train
C0366,25-40,Low,Salaried,Rented,Semi-Urban,No,Train
C0367,60+,Medium,Salaried,Owned,Urban,No,Train
C0368,60+,High,Self-Employed,Owned,Urban,No,Train
C0369,25-40,Low,Salaried,Owned,Urban,No,Train
C0370,<25,Low,Unemployed,Rented,Urban,No,Train
C0371,25-40,High,Self-Employed,Owned,Urban,No,Train
C0372,<25,Low,Unemployed,Rented,Urban,No,Train
C0373,<25,High,Self-Employed,Owned,Urban,No,Train
C0374,40-60,Medium,Salaried,Rented,Urban,No,Train
C0375,<25,Low,Self-Employed,Family,Semi-Urban,No,Train
C0376,25-40,High,Salaried,Rented,Urban,No,Train
C0377,40-60,Medium,Salaried,Rented,Urban,No,Train
C0378,<25,Medium,Unemployed,Owned,Rural,No,Train
C0379,40-60,Medium,Salaried,Owned,Urban,No,Train
C0380,25-40,Medium,Unemployed,Rented,Semi-Urban,No,Train
C0381,25-40,Low,Unemployed,Owned,Urban,No,Train
C0382,40-60,Medium,Unemployed,Rented,Urban,No,Train
C0383,40-60,High,Retired,Owned,Semi-Urban,No,Train
C0384,60+,Low,Salaried,Owned,Semi-Urban,Yes,Train
C0385,40-60,Medium,Salaried,Owned,Rural,No,Train
C0386,40-60,Low,Self-Employed,Family,Semi-Urban,No,Train
C0387,25-40,Medium,Salaried,Owned,Rural,No,Train
C0388,25-40,Low,Self-Employed,Rented,Urban,No,Train
C0389,40-60,High,Unemployed,Owned,Urban,No,Train
C0390,40-60,Medium,Self-Employed,Rented,Urban,No,Train
C0391,60+,Low,Salaried,Owned,Urban,Yes,Train
C0392,25-40,Low,Salaried,Family,Semi-Urban,No,Train
C0393,25-40,Low,Salaried,Family,Semi-Urban,No,Train
C0394,40-60,Medium,Salaried,Owned,Urban,No,Train
C0395,25-40,Low,Unemployed,Family,Rural,No,Train
C0396,60+,High,Salaried,Family,Rural,No,Train
C0397,60+,Medium,Salaried,Family,Urban,Yes,Train
C0398,25-40,Low,Salaried,Family,Urban,No,Train
C0399,40-60,Medium,Self-Employed,Owned,Urban,No,Train
C0400,40-60,Medium,Self-Employed,Rented,Urban,No,Train
C0401,25-40,Low,Salaried,Owned,Urban,No,Train
C0402,60+,Low,Salaried,Owned,Semi-Urban,No,Train
C0403,40-60,Low,Salaried,Family,Urban,No,Train
C0404,40-60,Medium,Salaried,Owned,Urban,No,Train
C0405,25-40,Medium,Self-Employed,Rented,Rural,No,Train
C0406,60+,Medium,Self-Employed,Family,Semi-Urban,No,Train
C0407,25-40,High,Salaried,Family,Rural,No,Train
C0408,<25,High,Salaried,Family,Urban,No,Train
C0409,60+,Medium,Retired,Owned,Urban,No,Train
C0410,<25,High,Self-Employed,Owned,Semi-Urban,No,Train
C0411,25-40,Low,Self-Employed,Rented,Urban,No,Train
C0412,60+,Low,Salaried,Owned,Urban,No,Train
C0413,60+,Low,Self-Employed,Owned,Semi-Urban,No,Train
C0414,40-60,Low,Salaried,Owned,Semi-Urban,Yes,Train
C0415,40-60,Medium,Self-Employed,Rented,Urban,Yes,Train
C0416,25-40,High,Retired,Rented,Urban,No,Train
C0417,25-40,Low,Salaried,Owned,Urban,No,Train
C0418,25-40,Low,Salaried,Rented,Urban,No,Train
C0419,40-60,Medium,Salaried,Owned,Urban,No,Train
C0420,40-60,High,Salaried,Owned,Urban,No,Train
C0421,40-60,Low,Salaried,Rented,Urban,No,Train
C0422,40-60,Medium,Salaried,Rented,Rural,No,Train
C0423,<25,Low,Unemployed,Rented,Semi-Urban,No,Train
C0424,25-40,Low,Self-Employed,Owned,Semi-Urban,No,Train
C0425,<25,High,Salaried,Family,Urban,No,Train
C0426,40-60,High,Retired,Rented,Urban,No,Train
C0427,25-40,Low,Salaried,Rented,Urban,No,Train
C0428,60+,High,Retired,Rented,Urban,No,Train
C0429,25-40,Medium,Salaried,Family,Urban,No,Train
C0430,25-40,High,Unemployed,Rented,Semi-Urban,No,Train
C0431,25-40,Medium,Self-Employed,Rented,Semi-Urban,No,Train
C0432,40-60,Medium,Unemployed,Family,Semi-Urban,Yes,Train
C0433,40-60,Medium,Retired,Rented,Urban,No,Train
C0434,25-40,Medium,Salaried,Rented,Rural,Yes,Train
C0435,<25,Low,Retired,Rented,Urban,No,Train
C0436,40-60,Low,Salaried,Owned,Urban,No,Train
C0437,<25,Low,Salaried,Owned,Urban,No,Train
C0438,40-60,Medium,Salaried,Rented,Semi-Urban,No,Train
C0439,40-60,Low,Self-Employed,Family,Rural,Yes,Train
C0440,<25,Medium,Salaried,Family,Urban,No,Train
C0441,<25,High,Self-Employed,Owned,Rural,No,Train
C0442,60+,Low,Self-Employed,Rented,Rural,No,Train
C0443,25-40,Medium,Unemployed,Owned,Urban,Yes,Train
C0444,25-40,Medium,Unemployed,Family,Urban,No,Train
C0445,40-60,High,Salaried,Family,Urban,Yes,Train
C0446,60+,Low,Salaried,Rented,Rural,No,Train
C0447,60+,Medium,Salaried,Family,Urban,No,Train
C0448,40-60,High,Salaried,Rented,Semi-Urban,No,Train
C0449,25-40,High,Salaried,Rented,Urban,No,Train
