signal_id,account_id,customer_id,past_payment_frequency,avg_payment_percent,broken_promises_count,last_contact_outcome,last_call_sentiment,digital_engagement_score,response_latency_days
S00051,A10051,C0042,Irregular,6.63,2,Connected,Cooperative,13,1
S00052,A10052,C0043,Irregular,7.25,3,Connected,Neutral,84,6
S00053,A10053,C0044,Regular,1.65,3,Refused,Cooperative,51,18
S00054,A10054,C0045,Regular,4.29,0,Refused,Cooperative,81,10
S00055,A10055,C0046,Irregular,3.6,6,No Answer,Cooperative,47,8
S00056,A10056,C0046,None,8.67,5,No Answer,Cooperative,33,12
S00057,A10057,C0047,None,1.87,2,No Answer,Angry,11,6
S00058,A10058,C0048,Irregular,3.67,3,No Answer,Neutral,40,3
S00059,A10059,C0048,Irregular,7.48,1,Refused,Cooperative,14,4
S00060,A10060,C0049,Irregular,4.68,3,Connected,Angry,54,20
S00061,A10061,C0049,Regular,2.74,0,No Answer,Cooperative,49,7
S00062,A10062,C0050,Regular,7.33,0,No Answer,Distressed,40,16
S00063,A10063,C0050,Irregular,4.43,2,Refused,Neutral,46,5
S00064,A10064,C0051,Regular,5.88,2,No Answer,Distressed,75,4
S00065,A10065,C0051,Irregular,2.18,4,No Answer,Angry,94,4
S00066,A10066,C0052,Irregular,6.51,5,Refused,Distressed,45,10
S00067,A10067,C0052,Regular,3.54,1,No Answer,Distressed,21,12
S00068,A10068,C0053,None,1.42,0,Refused,Neutral,60,17
S00069,A10069,C0053,Irregular,0.5,0,No Answer,Neutral,67,15
S00070,A10070,C0054,Irregular,4.69,0,No Answer,Angry,71,18
S00071,A10071,C0055,Regular,2.34,4,Connected,Cooperative,59,18
S00072,A10072,C0055,None,8.07,2,Refused,Distressed,75,5
S00073,A10073,C0056,Regular,0.56,5,No Answer,Cooperative,68,0
S00074,A10074,C0057,None,1.47,6,Refused,Neutral,25,15
S00075,A10075,C0057,Irregular,4.14,5,Connected,Distressed,97,3
S00076,A10076,C0058,Regular,9.86,6,Connected,Cooperative,83,0
S00077,A10077,C0059,Regular,7.68,4,Refused,Neutral,39,19
S00078,A10078,C0060,Irregular,3.06,6,Refused,Neutral,39,11
S00079,A10079,C0061,Irregular,7.62,2,Connected,Distressed,89,2
S00080,A10080,C0062,Regular,6.09,2,No Answer,Neutral,35,4
S00081,A10081,C0063,Regular,1.97,4,Refused,Cooperative,72,17
S00082,A10082,C0063,Regular,4.84,4,No Answer,Angry,75,3
S00083,A10083,C0064,Regular,6.89,0,No Answer,Neutral,51,20
S00084,A10084,C0065,Irregular,2.04,3,No Answer,Neutral,30,3
S00085,A10085,C0066,Irregular,4.17,5,Refused,Neutral,69,7
S00086,A10086,C0067,None,9.01,4,Connected,Neutral,47,14
S00087,A10087,C0068,Irregular,7.23,2,Connected,Neutral,47,0
S00088,A10088,C0069,None,7.77,0,No Answer,Angry,98,16
S00089,A10089,C0070,Irregular,1.24,3,No Answer,Cooperative,52,0
S00090,A10090,C0071,Irregular,3.26,6,Refused,Neutral,86,12
S00091,A10091,C0072,Irregular,7.11,6,Refused,Cooperative,46,19
S00092,A10092,C0073,Regular,5.25,1,No Answer,Cooperative,86,14
S00093,A10093,C0074,None,8.65,3,Connected,Distressed,11,14
S00094,A10094,C0074,Irregular,7.33,2,Refused,Distressed,33,9
S00095,A10095,C0075,Regular,6.9,3,Refused,Neutral,37,11
S00096,A10096,C0075,Regular,1.15,4,No Answer,Neutral,57,13
S00097,A10097,C0076,Regular,5.89,5,Refused,Cooperative,77,2
S00098,A10098,C0076,Irregular,8.97,6,No Answer,Neutral,60,5
S00099,A10099,C0077,Regular,4.6,1,Connected,Distressed,23,3
S00100,A10100,C0078,Irregular,2.52,6,Connected,Cooperative,18,16
S00101,A10101,C0079,None,6.68,4,Connected,Cooperative,48,15
S00102,A10102,C0079,Regular,7.28,3,No Answer,Cooperative,13,19
S00103,A10103,C0080,Irregular,9.28,0,Connected,Cooperative,27,14
S00104,A10104,C0081,Irregular,8.79,5,Connected,Neutral,95,0
S00105,A10105,C0081,Regular,2.19,4,Connected,Cooperative,69,11
S00106,A10106,C0082,None,5.46,5,Refused,Angry,67,3
S00107,A10107,C0083,Irregular,3.51,5,Refused,Neutral,39,11
S00108,A10108,C0084,None,4.99,6,Refused,Cooperative,48,9
S00109,A10109,C0085,None,5.69,5,Connected,Neutral,51,4
S00110,A10110,C0086,Regular,5.48,6,Connected,Cooperative,46,6
S00111,A10111,C0086,None,3.69,0,Connected,Neutral,86,10
S00112,A10112,C0087,Regular,0.51,6,Refused,Angry,97,10
S00113,A10113,C0088,Irregular,9.97,1,Refused,Distressed,55,9
S00114,A10114,C0089,Irregular,1.5,1,Connected,Distressed,80,13
S00115,A10115,C0090,Irregular,7.14,6,Connected,Cooperative,74,1
S00116,A10116,C0091,None,2.05,0,Refused,Distressed,62,10
S00117,A10117,C0092,None,9.83,2,No Answer,Distressed,45,2
S00118,A10118,C0093,None,7.2,4,Refused,Neutral,72,5
S00119,A10119,C0094,Irregular,9.65,1,No Answer,Distressed,86,10
S00120,A10120,C0095,Irregular,8.94,0,No Answer,Neutral,79,15
S00121,A10121,C0096,Regular,3.58,1,No Answer,Cooperative,94,12
S00122,A10122,C0097,Regular,1.93,2,No Answer,Neutral,98,16
S00123,A10123,C0098,None,3.28,3,Connected,Distressed,19,2
S00124,A10124,C0099,None,4.45,5,Refused,Cooperative,64,14
S00125,A10125,C0100,Irregular,9.08,3,Refused,Neutral,90,11
S00126,A10126,C0100,Regular,2.17,4,Connected,Cooperative,88,12
S00127,A10127,C0101,Irregular,6.25,1,Connected,Distressed,52,8
S00128,A10128,C0102,Irregular,0.79,2,Connected,Angry,65,10
S00129,A10129,C0103,Irregular,6.37,1,Refused,Distressed,85,10
S00130,A10130,C0104,Regular,9.99,6,No Answer,Distressed,32,5
S00131,A10131,C0105,None,7.65,5,Refused,Neutral,73,19
S00132,A10132,C0106,Irregular,1.3,4,Connected,Cooperative,29,10
S00133,A10133,C0106,Irregular,5.17,1,No Answer,Cooperative,37,15
S00134,A10134,C0107,Regular,2.36,5,No Answer,Neutral,95,0
S00135,A10135,C0108,Regular,2.46,3,Connected,Neutral,63,18
S00136,A10136,C0109,Regular,9.25,3,No Answer,Neutral,55,14
S00137,A10137,C0110,Regular,5.19,3,Connected,Angry,28,6
S00138,A10138,C0111,Regular,4.38,2,Connected,Neutral,72,4
S00139,A10139,C0112,None,5.03,3,Refused,Neutral,93,11
S00140,A10140,C0112,Regular,6.56,6,Connected,Cooperative,22,9
S00141,A10141,C0113,None,5.61,1,Refused,Cooperative,77,14
S00142,A10142,C0114,Regular,8.44,1,Refused,Cooperative,18,20
S00143,A10143,C0115,None,2.86,2,Connected,Neutral,88,12
S00144,A10144,C0116,Irregular,4.56,6,No Answer,Neutral,41,5
S00145,A10145,C0117,None,2.18,0,Connected,Distressed,91,12
S00146,A10146,C0118,Regular,7.72,1,Connected,Cooperative,76,8
S00147,A10147,C0119,Irregular,5.72,6,Connected,Cooperative,65,19
S00148,A10148,C0120,None,4.3,2,No Answer,Cooperative,27,13
S00149,A10149,C0120,Irregular,3.95,0,No Answer,Angry,85,3
S00150,A10150,C0121,Regular,9.71,1,Connected,Neutral,19,6
S00151,A10151,C0121,Regular,3.45,5,No Answer,Distressed,90,3
S00152,A10152,C0122,None,8.88,4,Refused,Neutral,12,18
S00153,A10153,C0122,Irregular,9.48,3,No Answer,Angry,21,8
S00154,A10154,C0123,Irregular,4.36,5,Connected,Neutral,87,16
S00155,A10155,C0124,Regular,5.51,3,No Answer,Angry,30,15
S00156,A10156,C0124,Irregular,0.8,3,Connected,Angry,88,3
S00157,A10157,C0125,None,7.85,5,No Answer,Cooperative,64,4
S00158,A10158,C0125,Regular,3.44,2,Refused,Angry,78,9
S00159,A10159,C0126,Irregular,6.52,6,Refused,Cooperative,81,16
S00160,A10160,C0127,Irregular,9.02,0,No Answer,Distressed,98,1
S00161,A10161,C0128,Irregular,8.98,2,Connected,Distressed,19,5
S00162,A10162,C0129,Irregular,3.46,5,No Answer,Neutral,58,6
S00163,A10163,C0130,Irregular,1.17,6,Refused,Cooperative,75,2
S00164,A10164,C0131,None,8.2,0,No Answer,Cooperative,56,11
S00165,A10165,C0132,None,7.75,4,No Answer,Neutral,78,1
S00166,A10166,C0132,Irregular,8.78,6,Connected,Distressed,85,9
S00167,A10167,C0133,Irregular,3.8,3,No Answer,Cooperative,58,5
S00168,A10168,C0134,None,2.12,4,Connected,Neutral,27,17
S00169,A10169,C0135,Irregular,9.68,4,Refused,Cooperative,80,11
S00170,A10170,C0136,Regular,9.08,2,No Answer,Cooperative,91,6
S00171,A10171,C0137,None,2.37,2,No Answer,Cooperative,90,9
S00172,A10172,C0137,Irregular,7.04,1,Connected,Cooperative,12,5
S00173,A10173,C0138,Irregular,3.49,3,No Answer,Neutral,97,8
S00174,A10174,C0139,Regular,2.96,4,No Answer,Cooperative,31,3
S00175,A10175,C0140,Irregular,9.51,1,Connected,Cooperative,88,13
S00176,A10176,C0141,Regular,3.82,6,Refused,Angry,59,7
S00177,A10177,C0142,Irregular,3.09,1,Connected,Cooperative,87,4
S00178,A10178,C0143,Irregular,7.78,6,No Answer,Cooperative,75,11
S00179,A10179,C0144,Irregular,2.63,3,No Answer,Neutral,94,2
S00180,A10180,C0145,None,7.12,4,Connected,Distressed,86,13
S00181,A10181,C0146,Regular,6.73,1,Connected,Cooperative,43,15
S00182,A10182,C0147,Regular,0.57,1,Connected,Cooperative,54,6
S00183,A10183,C0147,None,1.49,6,Connected,Neutral,53,15
S00184,A10184,C0148,Irregular,6.78,3,Connected,Neutral,52,17
S00185,A10185,C0148,Irregular,3.8,6,Refused,Angry,40,9
S00186,A10186,C0149,Irregular,9.36,3,Refused,Neutral,66,0
S00187,A10187,C0149,None,5.36,5,Refused,Neutral,13,3
S00188,A10188,C0150,Irregular,7.47,5,No Answer,Distressed,79,0
S00189,A10189,C0151,Regular,8.61,3,No Answer,Cooperative,49,6
S00190,A10190,C0152,Irregular,3.72,2,Refused,Cooperative,63,17
S00191,A10191,C0153,Irregular,7.32,4,No Answer,Neutral,80,14
S00192,A10192,C0154,Irregular,1.31,2,Connected,Cooperative,55,8
S00193,A10193,C0155,Regular,6.65,5,Connected,Cooperative,98,1
S00194,A10194,C0155,Irregular,0.71,1,No Answer,Cooperative,53,16
S00195,A10195,C0156,Irregular,0.73,1,Refused,Neutral,20,13
S00196,A10196,C0157,Regular,0.5,2,No Answer,Distressed,66,2
S00197,A10197,C0158,Irregular,2.75,4,Refused,Neutral,46,0
S00198,A10198,C0158,Irregular,6.61,4,No Answer,Distressed,93,3
S00199,A10199,C0159,Regular,5.53,4,Connected,Angry,28,18
S00200,A10200,C0160,Regular,8.68,6,No Answer,Distressed,60,9
S00201,A10201,C0160,Irregular,1.81,0,Refused,Distressed,61,6
S00202,A10202,C0161,None,7.4,2,Connected,Cooperative,99,19
S00203,A10203,C0162,Regular,5.19,1,Refused,Distressed,93,9
S00204,A10204,C0163,Regular,3.14,6,Connected,Cooperative,38,5
S00205,A10205,C0164,None,2.09,5,No Answer,Cooperative,84,10
S00206,A10206,C0165,Irregular,8.18,6,Connected,Cooperative,93,8
S00207,A10207,C0166,Regular,0.98,5,No Answer,Angry,69,5
S00208,A10208,C0167,None,1.88,2,No Answer,Cooperative,39,18
S00209,A10209,C0168,Irregular,9.97,1,No Answer,Neutral,63,14
S00210,A10210,C0169,Irregular,2.22,0,No Answer,Distressed,28,17
S00211,A10211,C0169,None,9.03,1,Connected,Neutral,44,18
S00212,A10212,C0170,None,5.69,1,Connected,Cooperative,15,5
S00213,A10213,C0171,Regular,7.34,2,No Answer,Distressed,11,18
S00214,A10214,C0171,Irregular,4.88,5,Connected,Angry,84,7
S00215,A10215,C0172,Regular,3.05,2,Connected,Cooperative,30,16
S00216,A10216,C0173,Irregular,4.84,1,Connected,Neutral,87,19
S00217,A10217,C0174,Regular,8.01,1,Connected,Cooperative,85,2
S00218,A10218,C0175,None,4.08,4,No Answer,Distressed,67,0
S00219,A10219,C0176,None,1.87,3,Connected,Distressed,12,17
S00220,A10220,C0177,Regular,8.69,1,Connected,Cooperative,53,16
S00221,A10221,C0177,Regular,8.49,5,No Answer,Cooperative,71,10
S00222,A10222,C0178,Irregular,9.08,2,No Answer,Distressed,26,14
S00223,A10223,C0179,Regular,0.65,4,Connected,Neutral,52,17
S00224,A10224,C0180,None,1.25,4,Connected,Cooperative,80,9
S00225,A10225,C0181,Irregular,2.92,6,Refused,Distressed,43,5
S00226,A10226,C0182,Irregular,3.68,1,No Answer,Cooperative,50,7
S00227,A10227,C0183,Irregular,4.13,6,Refused,Neutral,19,10
S00228,A10228,C0184,Irregular,8.13,2,Connected,Neutral,25,15
S00229,A10229,C0185,Irregular,8.51,0,Connected,Cooperative,55,15
S00230,A10230,C0185,Irregular,7.59,4,No Answer,Distressed,15,11
S00231,A10231,C0186,Regular,2.97,3,No Answer,Distressed,68,6
S00232,A10232,C0187,Irregular,5.7,1,No Answer,Cooperative,27,15
S00233,A10233,C0188,Regular,5.8,4,Refused,Distressed,90,12
S00234,A10234,C0189,Irregular,5.03,3,Connected,Cooperative,51,12
S00235,A10235,C0190,Regular,2.11,1,Connected,Cooperative,73,4
S00236,A10236,C0191,Irregular,7.88,6,No Answer,Neutral,96,17
S00237,A10237,C0192,Irregular,9.03,2,Connected,Cooperative,68,10
S00238,A10238,C0192,Regular,7.82,5,Refused,Neutral,65,0
S00239,A10239,C0193,None,3.06,1,Connected,Neutral,25,11
S00240,A10240,C0194,Regular,7.62,4,Connected,Cooperative,55,20
S00241,A10241,C0195,Irregular,8.03,0,No Answer,Neutral,82,11
S00242,A10242,C0196,Irregular,5.9,5,Connected,Distressed,67,4
S00243,A10243,C0197,Irregular,4.88,4,Connected,Cooperative,57,10
S00244,A10244,C0198,Irregular,5.87,4,No Answer,Neutral,90,2
S00245,A10245,C0199,None,7.41,0,Connected,Distressed,74,0
S00246,A10246,C0200,None,1.59,5,Connected,Distressed,62,15
S00247,A10247,C0201,Regular,3.69,3,No Answer,Distressed,79,9
S00248,A10248,C0202,Regular,7.69,2,No Answer,Neutral,58,18
S00249,A10249,C0203,Regular,6.04,1,Refused,Distressed,94,15
S00250,A10250,C0204,None,4.11,2,Connected,Cooperative,85,17
S00251,A10251,C0205,Regular,7.75,1,No Answer,Cooperative,12,11
S00252,A10252,C0206,Irregular,2.82,4,Connected,Neutral,50,11
S00253,A10253,C0207,None,5.54,6,Refused,Neutral,45,17
S00254,A10254,C0208,Regular,3.31,2,No Answer,Neutral,47,13
S00255,A10255,C0208,Regular,7.22,4,Connected,Angry,51,16
S00256,A10256,C0209,Irregular,0.82,2,Connected,Distressed,28,18
S00257,A10257,C0210,None,5.58,1,No Answer,Neutral,57,17
S00258,A10258,C0211,None,7.02,6,Connected,Neutral,70,19
S00259,A10259,C0212,Irregular,1.44,6,No Answer,Angry,34,20
S00260,A10260,C0213,Regular,4.19,3,No Answer,Neutral,82,19
S00261,A10261,C0213,Regular,7.26,6,No Answer,Cooperative,28,13
S00262,A10262,C0214,Irregular,7.9,1,Connected,Angry,84,2
S00263,A10263,C0214,Regular,3.92,4,No Answer,Neutral,63,14
S00264,A10264,C0215,Irregular,8.8,5,Connected,Angry,12,1
S00265,A10265,C0216,Irregular,5.5,0,Connected,Neutral,91,15
S00266,A10266,C0217,Regular,0.54,3,Connected,Neutral,91,10
S00267,A10267,C0218,Irregular,8.29,0,Connected,Angry,66,6
S00268,A10268,C0219,Irregular,6.03,6,No Answer,Cooperative,50,1
S00269,A10269,C0220,Regular,4.31,4,No Answer,Distressed,59,17
S00270,A10270,C0220,Irregular,5.64,0,Connected,Neutral,55,17
S00271,A10271,C0221,Irregular,8.47,6,Refused,Cooperative,20,1
S00272,A10272,C0222,None,9.11,0,No Answer,Neutral,90,16
S00273,A10273,C0222,Irregular,4.36,6,No Answer,Angry,24,8
S00274,A10274,C0223,Regular,6.22,5,Refused,Neutral,35,19
S00275,A10275,C0224,None,5.19,0,Connected,Neutral,57,17
S00276,A10276,C0225,Irregular,4.13,4,Refused,Cooperative,35,20
S00277,A10277,C0225,Regular,7.06,2,No Answer,Distressed,14,13
S00278,A10278,C0226,Regular,7.43,6,Connected,Distressed,18,17
S00279,A10279,C0227,None,9.03,0,No Answer,Cooperative,44,9
S00280,A10280,C0228,None,0.76,1,No Answer,Angry,88,7
S00281,A10281,C0229,Regular,8.51,4,No Answer,Distressed,61,6
S00282,A10282,C0230,Irregular,3.94,5,Refused,Cooperative,53,12
S00283,A10283,C0230,Irregular,6.15,0,No Answer,Cooperative,25,4
S00284,A10284,C0231,None,7.88,6,Connected,Distressed,70,17
S00285,A10285,C0232,None,2.83,0,Connected,Neutral,21,10
S00286,A10286,C0233,Irregular,0.93,2,Refused,Neutral,90,2
S00287,A10287,C0234,None,2.75,2,Refused,Cooperative,86,9
S00288,A10288,C0235,None,9.31,5,No Answer,Neutral,64,19
S00289,A10289,C0236,Irregular,2.11,4,No Answer,Neutral,46,20
S00290,A10290,C0237,Irregular,4.85,3,Connected,Cooperative,55,17
S00291,A10291,C0238,Regular,5.96,6,Connected,Cooperative,43,1
S00292,A10292,C0239,None,1.25,3,Connected,Cooperative,36,20
S00293,A10293,C0239,Regular,7.37,5,Refused,Cooperative,34,13
S00294,A10294,C0240,Regular,4.31,5,Refused,Neutral,32,0
S00295,A10295,C0241,Regular,8.69,4,No Answer,Neutral,86,19
S00296,A10296,C0242,Irregular,5.66,0,No Answer,Cooperative,89,15
S00297,A10297,C0243,Irregular,6.98,2,Connected,Neutral,12,0
S00298,A10298,C0243,None,7.2,6,No Answer,Angry,73,19
S00299,A10299,C0244,None,7.17,3,Connected,Cooperative,83,13
S00300,A10300,C0245,Irregular,1.1,1,Refused,Angry,58,20
S00301,A10301,C0246,Irregular,1.95,1,Connected,Neutral,16,20
S00302,A10302,C0247,Irregular,9.74,6,Connected,Angry,63,17
S00303,A10303,C0248,Regular,7.48,0,Refused,Neutral,77,3
S00304,A10304,C0249,Regular,3.6,2,Connected,Cooperative,69,9
S00305,A10305,C0250,Irregular,1.75,4,Refused,Cooperative,42,10
S00306,A10306,C0250,Irregular,5.06,6,Connected,Distressed,23,7
S00307,A10307,C0251,Irregular,8.12,3,No Answer,Cooperative,47,13
S00308,A10308,C0252,Regular,9.08,5,Refused,Cooperative,57,11
S00309,A10309,C0253,Irregular,3.29,4,Connected,Neutral,62,16
S00310,A10310,C0254,Irregular,4.03,4,Connected,Cooperative,22,18
S00311,A10311,C0254,Regular,6.16,3,Refused,Neutral,13,6
S00312,A10312,C0255,Irregular,8.25,4,Connected,Neutral,56,19
S00313,A10313,C0255,None,7.31,6,Connected,Neutral,46,12
S00314,A10314,C0256,Irregular,6.84,0,No Answer,Cooperative,62,19
S00315,A10315,C0257,Regular,1.56,6,Connected,Cooperative,25,13
S00316,A10316,C0257,Irregular,4.23,5,Connected,Cooperative,76,3
S00317,A10317,C0258,Irregular,9.22,2,Refused,Angry,51,1
S00318,A10318,C0259,Regular,2.65,1,No Answer,Neutral,87,9
S00319,A10319,C0260,Regular,6.88,5,Refused,Cooperative,97,13
S00320,A10320,C0261,Regular,6.27,4,No Answer,Distressed,77,8
S00321,A10321,C0262,None,2.73,3,No Answer,Cooperative,60,3
S00322,A10322,C0262,Regular,3.9,4,Connected,Distressed,49,12
S00323,A10323,C0263,Irregular,4.57,5,Connected,Neutral,25,12
S00324,A10324,C0263,Irregular,4.21,5,Refused,Neutral,65,7
S00325,A10325,C0264,Regular,6.3,0,Connected,Distressed,90,14
S00326,A10326,C0265,None,6.33,1,Refused,Cooperative,65,13
S00327,A10327,C0266,Regular,5.22,5,No Answer,Angry,99,18
S00328,A10328,C0267,None,2.24,2,Connected,Cooperative,70,20
S00329,A10329,C0268,Irregular,4.36,4,Connected,Neutral,19,5
S00330,A10330,C0269,Regular,1.02,5,Connected,Cooperative,44,4
S00331,A10331,C0270,None,7.74,5,No Answer,Distressed,89,5
S00332,A10332,C0271,None,7.87,6,Refused,Neutral,68,14
S00333,A10333,C0272,Irregular,1.91,1,Refused,Neutral,51,19
S00334,A10334,C0273,None,6.09,3,Connected,Angry,84,1
S00335,A10335,C0274,Regular,4.28,0,No Answer,Neutral,67,4
S00336,A10336,C0275,Regular,0.68,4,Connected,Cooperative,29,11
S00337,A10337,C0276,Irregular,4.55,2,Connected,Angry,65,14
S00338,A10338,C0277,None,5.83,0,Connected,Neutral,90,17
S00339,A10339,C0277,Regular,4.26,4,Connected,Distressed,35,1
S00340,A10340,C0278,Regular,8.49,0,No Answer,Distressed,93,4
S00341,A10341,C0279,Regular,7.09,1,No Answer,Neutral,28,6
S00342,A10342,C0280,Irregular,8.15,4,No Answer,Cooperative,75,3
S00343,A10343,C0281,Irregular,8.91,0,Connected,Angry,11,2
S00344,A10344,C0281,None,2.83,6,Connected,Cooperative,73,3
S00345,A10345,C0282,Irregular,1.24,0,No Answer,Neutral,94,9
S00346,A10346,C0282,Regular,6.59,5,No Answer,Neutral,89,6
S00347,A10347,C0283,Irregular,2.24,0,Connected,Cooperative,33,18
S00348,A10348,C0284,Irregular,2.27,6,Connected,Cooperative,41,10
S00349,A10349,C0285,Regular,1.35,2,Connected,Angry,20,10
S00350,A10350,C0286,Irregular,7.41,6,Refused,Cooperative,86,14
S00351,A10351,C0287,Irregular,6.15,4,Connected,Neutral,32,0
S00352,A10352,C0288,Regular,3.75,5,Connected,Neutral,97,10
S00353,A10353,C0289,None,8.32,4,Connected,Cooperative,16,16
S00354,A10354,C0290,Regular,9.02,0,No Answer,Cooperative,92,4
S00355,A10355,C0291,Irregular,8.93,6,Refused,Neutral,20,13
S00356,A10356,C0292,Irregular,6.45,0,No Answer,Neutral,29,6
S00357,A10357,C0293,Irregular,7.5,1,Connected,Distressed,39,11
S00358,A10358,C0294,None,9.94,1,No Answer,Distressed,88,19
S00359,A10359,C0295,Regular,9.38,4,No Answer,Neutral,57,7
S00360,A10360,C0295,Regular,6.84,5,Connected,Neutral,19,4
S00361,A10361,C0296,Regular,8.97,2,Connected,Angry,21,20
S00362,A10362,C0297,Irregular,8.04,6,No Answer,Angry,31,14
S00363,A10363,C0298,Irregular,7.31,0,Connected,Distressed,42,10
S00364,A10364,C0299,Irregular,1.04,0,Connected,Cooperative,72,8
S00365,A10365,C0300,None,8.34,2,Refused,Neutral,68,12
S00366,A10366,C0300,Irregular,8.15,4,No Answer,Cooperative,22,3
S00367,A10367,C0301,Irregular,5.56,4,No Answer,Neutral,60,8
S00368,A10368,C0302,Irregular,2.4,1,Connected,Cooperative,69,17
S00369,A10369,C0303,Irregular,1.56,0,No Answer,Cooperative,38,1
S00370,A10370,C0304,Regular,5.44,1,No Answer,Distressed,79,5
S00371,A10371,C0305,None,1.25,5,No Answer,Cooperative,96,5
S00372,A10372,C0306,Irregular,5.41,6,Refused,Neutral,27,9
S00373,A10373,C0306,Irregular,4.6,6,Connected,Neutral,81,6
S00374,A10374,C0307,Regular,1.1,5,Refused,Neutral,17,5
S00375,A10375,C0307,Irregular,3.39,0,No Answer,Neutral,97,15
S00376,A10376,C0308,Regular,1.81,5,No Answer,Angry,32,5
S00377,A10377,C0308,Regular,4.61,0,Connected,Neutral,47,20
S00378,A10378,C0309,Irregular,8.21,4,No Answer,Distressed,48,19
S00379,A10379,C0310,None,4.09,2,Connected,Distressed,45,5
S00380,A10380,C0311,Regular,8.87,5,Refused,Distressed,55,5
S00381,A10381,C0311,None,9.23,2,Connected,Cooperative,89,20
S00382,A10382,C0312,Regular,7.68,3,No Answer,Cooperative,69,0
S00383,A10383,C0313,Irregular,9.75,2,No Answer,Distressed,22,18
S00384,A10384,C0314,Irregular,4.77,3,Connected,Neutral,98,8
S00385,A10385,C0315,Regular,5.93,3,Connected,Neutral,85,17
S00386,A10386,C0315,Irregular,8.1,0,Connected,Cooperative,79,6
S00387,A10387,C0316,Regular,7.17,0,No Answer,Neutral,94,20
S00388,A10388,C0317,Regular,5.12,1,Connected,Cooperative,46,15
S00389,A10389,C0317,Irregular,7.54,6,No Answer,Cooperative,70,3
