offer_id,payment_started_flag,payment_completed_flag,default_stage,time_to_default_days,net_amount_collected,write_off_amount,completion_timestamp
O50078,No,No,Early,43,0,417932,
O50079,Yes,No,Mid,36,105149,312783,
O50080,Yes,Yes,None,0,59648,80045,2026-01-15
O50081,Yes,Yes,None,0,96622,43071,2026-01-13
O50082,Yes,Yes,None,0,122521,116788,2026-01-08
O50083,Yes,No,Mid,55,29930,127082,
O50084,No,No,Early,16,0,157012,
O50085,No,No,Early,25,0,258554,
O50086,No,No,Early,31,0,203297,
O50087,Yes,No,Mid,47,122414,333109,
O50088,Yes,Yes,None,0,140959,149386,2026-01-03
O50089,Yes,Yes,None,0,89242,133758,2026-03-06
O50090,No,No,Early,30,0,392721,
O50091,Yes,Yes,None,0,209729,118843,2026-03-05
O50092,No,No,Early,39,0,303102,
O50093,Yes,Yes,None,0,82385,79451,2026-02-07
O50094,Yes,No,Mid,63,96128,352561,
O50095,Yes,Yes,None,0,291374,134575,2026-02-02
O50096,No,No,Early,31,0,228083,
O50097,Yes,Yes,None,0,40765,38123,2026-03-29
O50098,Yes,No,Mid,57,17383,134311,
O50099,Yes,No,Mid,52,30320,121374,
O50100,Yes,No,Mid,44,5821,32174,
O50101,Yes,Yes,None,0,26335,11660,2026-01-29
O50102,No,No,Early,22,0,212127,
O50103,Yes,No,Mid,76,21260,190867,
O50104,Yes,No,Mid,30,51564,362908,
O50105,Yes,Yes,None,0,156708,159809,2026-01-25
O50106,Yes,Yes,None,0,278087,135881,2026-01-28
O50107,Yes,No,Mid,78,49859,364109,
O50108,No,No,Early,35,0,56708,
O50109,Yes,Yes,None,0,151173,173250,2026-03-07
O50110,Yes,No,Mid,60,99143,241756,
O50111,No,No,Early,19,0,479535,
O50112,No,No,Early,30,0,241090,
O50113,Yes,No,Mid,86,30748,105154,
O50114,No,No,Early,38,0,135902,
O50115,No,No,Early,39,0,404929,
O50116,Yes,Yes,None,0,278169,126760,2026-02-06
O50117,Yes,No,Mid,74,99760,307755,
O50118,No,No,Early,36,0,407515,
O50119,Yes,No,Mid,59,27921,77214,
O50120,Yes,Yes,None,0,94232,63600,2026-03-17
O50121,Yes,No,Mid,42,97290,366209,
O50122,Yes,Yes,None,0,198599,264900,2026-02-23
O50123,Yes,Yes,None,0,184289,79795,2026-02-05
O50124,Yes,Yes,None,0,114224,70300,2026-02-02
O50125,No,No,Early,25,0,184524,
O50126,No,No,Early,32,0,307552,
O50127,Yes,Yes,None,0,10970,7226,2026-02-13
O50128,No,No,Early,20,0,131074,
O50129,No,No,Early,15,0,72175,
O50130,No,No,Early,25,0,421100,
O50131,No,No,Early,32,0,421100,
O50132,Yes,Yes,None,0,209371,95635,2026-03-01
O50133,Yes,Yes,None,0,116099,154693,2026-01-04
O50134,Yes,Yes,None,0,174872,95920,2026-01-30
O50135,Yes,No,Mid,63,21608,53540,
O50136,No,No,Early,31,0,127743,
O50137,Yes,Yes,None,0,20055,21327,2026-03-20
O50138,No,No,Early,19,0,319393,
O50139,Yes,Yes,None,0,130329,189064,2026-02-28
O50140,No,No,Early,26,0,446599,
O50141,No,No,Early,21,0,54710,
O50142,Yes,Yes,None,0,30601,24109,2026-03-30
O50143,Yes,No,Mid,30,16520,92634,
O50144,Yes,No,Mid,46,88598,219530,
O50145,Yes,Yes,None,0,64985,41694,2026-02-09
O50146,Yes,Yes,None,0,72311,34368,2026-03-18
O50147,Yes,Yes,None,0,78959,86682,2026-02-14
O50148,Yes,Yes,None,0,229736,134601,2026-01-31
O50149,No,No,Early,21,0,364337,
O50150,Yes,Yes,None,0,232648,147040,2026-03-29
O50151,Yes,Yes,None,0,236349,143339,2026-03-01
O50152,Yes,Yes,None,0,22044,24341,2026-01-17
O50153,No,No,Early,26,0,46385,
O50154,Yes,No,Mid,84,114550,268899,
O50155,No,No,Early,30,0,478144,
O50156,Yes,Yes,None,0,219868,258276,2026-01-22
O50157,No,No,Early,42,0,156154,
O50158,No,No,Early,34,0,156154,
O50159,Yes,No,Mid,63,98025,233664,
O50160,No,No,Early,17,0,331689,
O50161,Yes,No,Mid,44,12391,109357,
O50162,Yes,Yes,None,0,115943,108451,2026-01-11
O50163,Yes,No,Mid,77,66565,348442,
O50164,Yes,Yes,None,0,19172,24704,2026-03-21
O50165,No,No,Early,22,0,411562,
O50166,No,No,Early,30,0,389472,
O50167,No,No,Early,17,0,389472,
O50168,No,No,Early,16,0,453895,
O50169,Yes,Yes,None,0,205307,248588,2026-01-14
O50170,Yes,Yes,None,0,104187,114567,2026-02-14
O50171,Yes,Yes,None,0,119549,99205,2026-03-24
O50172,No,No,Early,27,0,391620,
O50173,No,No,Early,32,0,27213,
O50174,Yes,Yes,None,0,12318,14895,2026-02-03
O50175,Yes,Yes,None,0,271996,120992,2026-02-09
O50176,Yes,Yes,None,0,21219,15386,2026-03-19
O50177,Yes,Yes,None,0,20027,16578,2026-03-30
O50178,No,No,Early,28,0,424144,
O50179,No,No,Early,17,0,158435,
O50180,No,No,Early,36,0,86688,
O50181,Yes,No,Mid,60,8797,77891,
O50182,No,No,Early,15,0,201023,
O50183,No,No,Early,37,0,123541,
O50184,Yes,Yes,None,0,86215,37326,2026-01-23
O50185,Yes,Yes,None,0,98434,69152,2026-01-08
O50186,No,No,Early,30,0,167586,
O50187,No,No,Early,41,0,273490,
O50188,No,No,Early,39,0,273490,
O50189,No,No,Early,33,0,88741,
O50190,No,No,Early,38,0,174815,
O50191,Yes,No,Mid,64,37658,262106,
O50192,Yes,No,Mid,36,23622,110880,
O50193,Yes,Yes,None,0,105812,135052,2026-03-07
O50194,Yes,Yes,None,0,129313,111551,2026-01-26
O50195,No,No,Early,30,0,183678,
O50196,Yes,No,Mid,66,104770,263644,
O50197,No,No,Early,37,0,368414,
O50198,No,No,Early,25,0,37228,
O50199,Yes,No,Mid,88,25620,189227,
O50200,No,No,Early,23,0,335326,
O50201,No,No,Early,15,0,363857,
O50202,No,No,Early,34,0,363857,
O50203,No,No,Early,15,0,342091,
O50204,Yes,Yes,None,0,189126,152965,2026-03-22
O50205,Yes,Yes,None,0,294833,162778,2026-02-26
O50206,No,No,Early,19,0,457611,
O50207,Yes,Yes,None,0,105718,109270,2026-02-05
O50208,Yes,No,Mid,42,52620,162368,
O50209,No,No,Early,43,0,409970,
O50210,No,No,Early,19,0,462760,
O50211,Yes,Yes,None,0,111156,54460,2026-01-30
O50212,No,No,Early,41,0,437696,
O50213,Yes,Yes,None,0,75868,57060,2026-01-16
O50214,No,No,Early,27,0,405166,
O50215,No,No,Early,15,0,114290,
O50216,No,No,Early,36,0,31105,
O50217,No,No,Early,20,0,249824,
O50218,Yes,Yes,None,0,117092,132732,2026-03-23
O50219,No,No,Early,34,0,153595,
O50220,Yes,Yes,None,0,77379,76216,2026-01-08
O50221,Yes,Yes,None,0,193089,88666,2026-01-20
O50222,Yes,Yes,None,0,152107,129648,2026-03-24
O50223,Yes,Yes,None,0,73660,97227,2026-03-24
O50224,Yes,Yes,None,0,115467,55420,2026-01-04
O50225,Yes,Yes,None,0,150729,222333,2026-02-19
O50226,Yes,Yes,None,0,31670,20691,2026-03-27
O50227,No,No,Early,40,0,144380,
O50228,Yes,Yes,None,0,87351,57029,2026-02-01
O50229,Yes,No,Mid,45,65224,168488,
O50230,Yes,Yes,None,0,135324,98388,2026-03-05
O50231,Yes,Yes,None,0,323435,146037,2026-03-01
O50232,Yes,Yes,None,0,109095,119873,2026-03-01
O50233,Yes,No,Mid,58,91468,317384,
O50234,No,No,Early,43,0,88309,
O50235,No,No,Early,42,0,88309,
O50236,No,No,Early,40,0,215940,
O50237,Yes,Yes,None,0,218060,104251,2026-01-02
O50238,Yes,Yes,None,0,258790,135204,2026-02-28
O50239,No,No,Early,33,0,393994,
O50240,No,No,Early,15,0,263182,
O50241,Yes,No,Mid,84,33645,229537,
O50242,No,No,Early,34,0,422124,
O50243,No,No,Early,31,0,422124,
O50244,Yes,Yes,None,0,235529,141941,2026-02-27
O50245,No,No,Early,18,0,377470,
O50246,Yes,Yes,None,0,76388,72304,2026-03-27
O50247,No,No,Early,35,0,63926,
O50248,Yes,Yes,None,0,28890,35036,2026-03-26
O50249,No,No,Early,25,0,117192,
O50250,No,No,Early,16,0,117192,
O50251,No,No,Early,31,0,71888,
O50252,Yes,No,Mid,67,37294,128300,
O50253,Yes,Yes,None,0,66359,94833,2026-02-14
O50254,Yes,Yes,None,0,104689,56503,2026-01-09
O50255,No,No,Early,20,0,92442,
O50256,Yes,Yes,None,0,55011,37431,2026-01-21
O50257,Yes,Yes,None,0,192447,123594,2026-02-26
O50258,Yes,Yes,None,0,209188,106853,2026-02-05
O50259,Yes,Yes,None,0,44810,31670,2026-03-21
O50260,Yes,Yes,None,0,72169,34722,2026-03-23
O50261,Yes,No,Mid,63,48428,277340,
O50262,Yes,Yes,None,0,115563,133893,2026-03-23
O50263,No,No,Early,19,0,68811,
O50264,Yes,No,Mid,36,31459,269356,
O50265,No,No,Early,22,0,294302,
O50266,Yes,Yes,None,0,134476,159826,2026-01-16
O50267,Yes,No,Mid,56,24454,77195,
O50268,Yes,No,Mid,58,26166,75483,
O50269,No,No,Early,22,0,413422,
O50270,Yes,No,Mid,50,47937,365485,
O50271,No,No,Early,23,0,332545,
O50272,Yes,Yes,None,0,168006,164539,2026-03-21
O50273,Yes,Yes,None,0,131096,97606,2026-01-08
O50274,No,No,Early,39,0,37024,
O50275,No,No,Early,40,0,37024,
O50276,Yes,Yes,None,0,74107,43381,2026-01-09
O50277,Yes,No,Mid,80,123839,299123,
O50278,No,No,Early,20,0,460450,
O50279,No,No,Early,41,0,435873,
O50280,Yes,Yes,None,0,39591,57425,2026-02-16
O50281,Yes,No,Mid,33,66004,327765,
O50282,No,No,Early,32,0,393769,
O50283,Yes,No,Mid,51,9123,56490,
O50284,Yes,Yes,None,0,27036,38577,2026-03-19
O50285,No,No,Early,28,0,202486,
O50286,Yes,Yes,None,0,87872,114614,2026-01-14
O50287,No,No,Early,38,0,410813,
O50288,Yes,Yes,None,0,305977,163946,2026-02-24
O50289,Yes,Yes,None,0,285377,184546,2026-02-19
O50290,No,No,Early,21,0,449010,
O50291,No,No,Early,33,0,380500,
O50292,Yes,No,Mid,30,32568,224863,
O50293,Yes,Yes,None,0,41728,56863,2026-03-28
O50294,Yes,Yes,None,0,62749,74617,2026-03-06
O50295,Yes,Yes,None,0,90469,46897,2026-02-18
O50296,Yes,Yes,None,0,156094,75257,2026-03-03
O50297,Yes,Yes,None,0,179709,166119,2026-01-21
O50298,No,No,Early,26,0,310761,
O50299,No,No,Early,36,0,310761,
O50300,No,No,Early,40,0,70264,
O50301,No,No,Early,41,0,428270,
O50302,No,No,Early,17,0,428270,
O50303,No,No,Early,41,0,296608,
O50304,Yes,Yes,None,0,136588,160020,2026-02-10
O50305,No,No,Early,15,0,35156,
O50306,No,No,Early,28,0,35156,
O50307,Yes,Yes,None,0,176666,81069,2026-02-01
O50308,Yes,No,Mid,47,22769,64808,
O50309,No,No,Early,35,0,322422,
O50310,Yes,No,Mid,67,79761,242661,
O50311,Yes,Yes,None,0,191732,252911,2026-01-26
O50312,Yes,Yes,None,0,82867,61784,2026-02-11
O50313,Yes,No,Mid,63,27268,117383,
O50314,No,No,Early,28,0,316343,
O50315,No,No,Early,20,0,35169,
O50316,Yes,Yes,None,0,17767,17402,2026-03-09
O50317,No,No,Early,33,0,318931,
O50318,No,No,Early,20,0,318931,
O50319,Yes,Yes,None,0,125467,123264,2026-02-16
O50320,Yes,Yes,None,0,100659,148072,2026-02-10
O50321,No,No,Early,17,0,446247,
O50322,No,No,Early,42,0,446247,
O50323,No,No,Early,15,0,195378,
O50324,Yes,Yes,None,0,222524,184578,2026-03-13
O50325,Yes,Yes,None,0,86378,102539,2026-01-22
O50326,No,No,Early,39,0,188917,
O50327,Yes,Yes,None,0,234583,137471,2026-01-30
O50328,Yes,Yes,None,0,194473,177581,2026-01-05
O50329,No,No,Early,24,0,69796,
O50330,No,No,Early,16,0,369182,
O50331,No,No,Early,19,0,369182,
O50332,Yes,Yes,None,0,206707,183579,2026-03-06
O50333,No,No,Early,40,0,390286,
O50334,No,No,Early,39,0,138014,
O50335,No,No,Early,36,0,295943,
O50336,No,No,Early,41,0,84109,
O50337,Yes,No,Mid,33,12266,89946,
O50338,Yes,Yes,None,0,46762,55450,2026-02-13
O50339,Yes,No,Mid,37,33179,286287,
O50340,Yes,Yes,None,0,159446,160020,2026-02-02
O50341,Yes,Yes,None,0,63546,74636,2026-02-11
O50342,No,No,Early,36,0,225774,
O50343,Yes,No,Mid,54,38133,154085,
O50344,Yes,Yes,None,0,124833,54679,2026-01-28
O50345,Yes,No,Mid,48,52631,126881,
O50346,Yes,Yes,None,0,186600,111181,2026-01-24
O50347,No,No,Early,41,0,297781,
O50348,No,No,Early,32,0,253117,
O50349,No,No,Early,38,0,327051,
O50350,Yes,Yes,None,0,93656,81821,2026-02-12
O50351,No,No,Early,15,0,82945,
O50352,Yes,Yes,None,0,46753,36192,2026-03-28
O50353,Yes,Yes,None,0,165692,162920,2026-01-15
O50354,No,No,Early,35,0,190793,
O50355,No,No,Early,38,0,190793,
O50356,Yes,Yes,None,0,77598,53987,2026-03-25
O50357,Yes,Yes,None,0,105035,135749,2026-02-07
O50358,No,No,Early,33,0,240784,
O50359,No,No,Early,32,0,131361,
O50360,No,No,Early,34,0,299833,
O50361,No,No,Early,44,0,327254,
O50362,No,No,Early,22,0,327254,
O50363,Yes,Yes,None,0,86697,108552,2026-03-15
O50364,Yes,No,Mid,73,48015,147234,
O50365,Yes,Yes,None,0,284825,171385,2026-01-09
O50366,No,No,Early,18,0,456210,
O50367,No,No,Early,27,0,260720,
O50368,Yes,Yes,None,0,146620,114100,2026-02-28
O50369,Yes,No,Mid,79,64838,298899,
O50370,Yes,Yes,None,0,159281,204456,2026-03-01
O50371,Yes,Yes,None,0,212551,168653,2026-01-08
O50372,Yes,No,Mid,38,112069,269135,
O50373,Yes,No,Mid,77,19194,60824,
O50374,Yes,No,Mid,39,10503,69515,
O50375,Yes,No,Mid,34,62651,330540,
O50376,Yes,Yes,None,0,87629,60286,2026-01-25
O50377,No,No,Early,33,0,147915,
O50378,No,No,Early,28,0,234882,
O50379,No,No,Early,35,0,473253,
O50380,Yes,No,Mid,65,49469,174835,
O50381,Yes,Yes,None,0,152856,71448,2026-02-26
O50382,Yes,Yes,None,0,64961,38991,2026-03-22
O50383,Yes,Yes,None,0,78038,66428,2026-03-09
O50384,Yes,Yes,None,0,77579,97810,2026-01-04
O50385,Yes,Yes,None,0,93979,81410,2026-03-21
O50386,No,No,Early,29,0,321172,
O50387,Yes,Yes,None,0,193385,127787,2026-03-19
O50388,Yes,No,Mid,46,92510,296009,
O50389,Yes,Yes,None,0,212977,175542,2026-02-28
O50390,Yes,No,Mid,43,22862,89088,
O50391,No,No,Early,28,0,149011,
O50392,Yes,Yes,None,0,93531,55480,2026-03-10
O50393,No,No,Early,27,0,102122,
O50394,No,No,Early,44,0,476691,
O50395,No,No,Early,36,0,476691,
O50396,No,No,Early,30,0,263535,
O50397,Yes,Yes,None,0,30978,33914,2026-02-28
O50398,Yes,Yes,None,0,270289,135531,2026-03-09
O50399,Yes,No,Mid,66,99327,368789,
O50400,Yes,Yes,None,0,259054,209062,2026-03-26
O50401,Yes,Yes,None,0,129446,87020,2026-02-10
O50402,No,No,Early,35,0,216466,
O50403,No,No,Early,29,0,448220,
O50404,Yes,Yes,None,0,104142,128844,2026-03-04
O50405,Yes,Yes,None,0,154204,78782,2026-03-22
O50406,No,No,Early,38,0,469055,
O50407,Yes,Yes,None,0,186763,109272,2026-02-06
O50408,No,No,Early,24,0,124384,
O50409,No,No,Early,23,0,145066,
O50410,Yes,No,Mid,71,78452,275949,
O50411,Yes,Yes,None,0,216201,138200,2026-02-24
O50412,Yes,Yes,None,0,23157,21716,2026-03-02
O50413,No,No,Early,33,0,44873,
O50414,Yes,Yes,None,0,21911,18007,2026-02-01
O50415,No,No,Early,33,0,97494,
O50416,Yes,No,Mid,66,10014,87480,
O50417,Yes,Yes,None,0,53925,52702,2026-01-28
O50418,No,No,Early,37,0,220383,
O50419,No,No,Early,26,0,228408,
O50420,Yes,Yes,None,0,166962,110437,2026-03-06
O50421,No,No,Early,33,0,277399,
O50422,No,No,Early,23,0,332176,
O50423,No,No,Early,26,0,332176,
O50424,No,No,Early,40,0,273445,
O50425,Yes,No,Mid,59,23900,121942,
O50426,No,No,Early,35,0,269043,
O50427,Yes,Yes,None,0,184465,201962,2026-02-18
O50428,No,No,Early,34,0,85825,
O50429,Yes,Yes,None,0,305676,134982,2026-01-29
O50430,No,No,Early,39,0,417282,
O50431,Yes,Yes,None,0,148870,112964,2026-01-11
O50432,No,No,Early,21,0,58039,
O50433,Yes,No,Mid,65,8508,49531,
O50434,Yes,Yes,None,0,135151,94621,2026-01-07
O50435,Yes,Yes,None,0,37306,51870,2026-03-25
O50436,No,No,Early,40,0,89176,
O50437,No,No,Early,18,0,62800,
O50438,Yes,No,Mid,64,40360,296678,
O50439,Yes,Yes,None,0,197137,139901,2026-03-16
O50440,No,No,Early,15,0,382375,
O50441,No,No,Early,28,0,205766,
O50442,Yes,Yes,None,0,105615,120706,2026-02-17
O50443,No,No,Early,31,0,226321,
O50444,No,No,Early,26,0,123611,
O50445,No,No,Early,44,0,123611,
O50446,Yes,No,Mid,43,53561,309844,
O50447,No,No,Early,26,0,345679,
O50448,No,No,Early,32,0,345679,
O50449,Yes,Yes,None,0,16856,8708,2026-02-09
O50450,No,No,Early,43,0,471195,
O50451,No,No,Early,27,0,471195,
O50452,Yes,Yes,None,0,19245,27078,2026-02-19
O50453,Yes,No,Mid,73,67704,367882,
O50454,Yes,No,Mid,67,30735,119269,
O50455,Yes,Yes,None,0,175171,216753,2026-03-27
O50456,Yes,Yes,None,0,214208,177716,2026-01-11
O50457,No,No,Early,31,0,45916,
O50458,Yes,Yes,None,0,197695,105758,2026-01-13
O50459,No,No,Early,37,0,409718,
O50460,No,No,Early,17,0,294250,
O50461,Yes,Yes,None,0,46127,23518,2026-03-22
O50462,Yes,Yes,None,0,168402,109061,2026-03-13
O50463,Yes,Yes,None,0,169650,107813,2026-03-21
O50464,Yes,Yes,None,0,40437,30172,2026-03-17
O50465,No,No,Early,41,0,70609,
O50466,No,No,Early,19,0,306946,
O50467,No,No,Early,16,0,306946,
O50468,No,No,Early,36,0,420737,
O50469,Yes,No,Mid,65,124192,296545,
O50470,Yes,Yes,None,0,59470,48084,2026-02-09
O50471,Yes,Yes,None,0,69034,38520,2026-02-26
O50472,Yes,No,Mid,89,99750,269345,
O50473,Yes,Yes,None,0,175771,234261,2026-02-11
O50474,Yes,Yes,None,0,242562,159752,2026-01-06
O50475,No,No,Early,44,0,309153,
O50476,Yes,Yes,None,0,215994,93159,2026-02-25
O50477,Yes,Yes,None,0,155317,81199,2026-02-27
O50478,Yes,Yes,None,0,223661,121419,2026-02-25
O50479,No,No,Early,33,0,345080,
O50480,No,No,Early,29,0,267615,
O50481,Yes,No,Mid,89,63986,337010,
O50482,No,No,Early,24,0,400996,
O50483,No,No,Early,16,0,30250,
O50484,Yes,No,Mid,69,50667,374731,
O50485,No,No,Early,37,0,425398,
O50486,No,No,Early,30,0,48370,
O50487,No,No,Early,25,0,48370,
O50488,No,No,Early,40,0,461983,
O50489,Yes,No,Mid,52,113618,348365,
O50490,No,No,Early,41,0,214416,
O50491,Yes,No,Mid,80,26560,210255,
O50492,No,No,Early,31,0,228396,
O50493,Yes,Yes,None,0,161077,131768,2026-03-10
O50494,No,No,Early,36,0,292845,
O50495,Yes,No,Mid,30,108202,301259,
O50496,Yes,Yes,None,0,15559,18181,2026-01-24
O50497,No,No,Early,41,0,339215,
O50498,Yes,Yes,None,0,203563,123294,2026-01-03
O50499,Yes,Yes,None,0,99613,112577,2026-02-26
O50500,No,No,Early,34,0,212190,
O50501,Yes,Yes,None,0,38905,25211,2026-01-06
O50502,No,No,Early,27,0,128535,
O50503,No,No,Early,38,0,148021,
O50504,Yes,Yes,None,0,29307,18991,2026-03-01
O50505,Yes,Yes,None,0,310417,161374,2026-02-16
O50506,Yes,No,Mid,64,32260,184187,
O50507,No,No,Early,37,0,471610,
O50508,Yes,Yes,None,0,22680,26078,2026-03-05
O50509,Yes,Yes,None,0,30915,17843,2026-01-18
O50510,Yes,No,Mid,34,23505,65964,
O50511,Yes,Yes,None,0,56562,32907,2026-01-07
O50512,Yes,Yes,None,0,129593,115666,2026-03-22
O50513,Yes,Yes,None,0,129830,115429,2026-01-30
O50514,Yes,Yes,None,0,68795,56410,2026-02-16
O50515,Yes,No,Mid,83,29453,83388,
O50516,No,No,Early,24,0,112841,
O50517,Yes,No,Mid,38,62240,201832,
O50518,No,No,Early,19,0,264072,
O50519,Yes,Yes,None,0,88660,70353,2026-01-09
O50520,Yes,No,Mid,49,42141,363308,
O50521,No,No,Early,33,0,405449,
O50522,Yes,Yes,None,0,185904,94333,2026-02-19
O50523,No,No,Early,38,0,337839,
O50524,No,No,Early,27,0,337839,
O50525,No,No,Early,43,0,318867,
O50526,Yes,No,Mid,58,20949,50866,
O50527,Yes,Yes,None,0,14344,6264,2026-03-14
O50528,No,No,Early,44,0,391606,
O50529,Yes,Yes,None,0,302126,160028,2026-01-24
O50530,No,No,Early,38,0,372855,
O50531,No,No,Early,36,0,372855,
O50532,No,No,Early,37,0,64648,
O50533,No,No,Early,40,0,79186,
O50534,Yes,Yes,None,0,34816,44370,2026-03-28
O50535,No,No,Early,37,0,163051,
O50536,No,No,Early,39,0,81483,
O50537,Yes,No,Mid,43,21340,60143,
O50538,Yes,Yes,None,0,159514,69582,2026-01-29
O50539,Yes,Yes,None,0,32830,28275,2026-03-17
O50540,Yes,Yes,None,0,27794,33311,2026-02-14
O50541,Yes,Yes,None,0,28898,13380,2026-03-13
O50542,Yes,No,Mid,81,4607,37671,
O50543,Yes,No,Mid,65,88486,391425,
O50544,Yes,Yes,None,0,303004,176907,2026-02-28
O50545,No,No,Early,29,0,17460,
O50546,No,No,Early,36,0,355822,
O50547,Yes,Yes,None,0,148268,207554,2026-01-28
O50548,No,No,Early,38,0,408659,
O50549,No,No,Early,15,0,184587,
O50550,No,No,Early,17,0,74030,
O50551,Yes,No,Mid,50,12271,61759,
O50552,Yes,Yes,None,0,114308,163082,2026-02-19
O50553,Yes,No,Mid,65,61451,215939,
O50554,Yes,No,Mid,80,57013,366493,
O50555,Yes,No,Mid,89,104746,307770,
O50556,No,No,Early,35,0,25547,
O50557,Yes,No,Mid,61,7024,18523,
O50558,No,No,Early,25,0,17921,
O50559,Yes,No,Mid,59,14355,55797,
O50560,Yes,Yes,None,0,30069,40083,2026-01-06
O50561,Yes,No,Mid,66,57172,242292,
O50562,No,No,Early,23,0,299464,
O50563,No,No,Early,20,0,102081,
O50564,No,No,Early,31,0,192171,
O50565,No,No,Early,33,0,192171,
O50566,Yes,Yes,None,0,152149,158714,2026-01-01
O50567,No,No,Early,29,0,310863,
O50568,No,No,Early,24,0,150102,
O50569,No,No,Early,38,0,412997,
O50570,Yes,Yes,None,0,45933,21869,2026-02-14
O50571,No,No,Early,23,0,142922,
O50572,No,No,Early,31,0,316251,
O50573,Yes,Yes,None,0,196292,119959,2026-02-24
O50574,No,No,Early,22,0,449584,
O50575,No,No,Early,33,0,449584,
O50576,Yes,No,Mid,89,64369,236209,
O50577,No,No,Early,21,0,300578,
O50578,No,No,Early,34,0,406825,
O50579,Yes,Yes,None,0,241562,191340,2026-03-18
O50580,Yes,No,Mid,77,10000,84062,
O50581,No,No,Early,21,0,94062,
O50582,No,No,Early,18,0,104407,
O50583,Yes,Yes,None,0,165508,171511,2026-01-23
O50584,No,No,Early,44,0,337019,
O50585,Yes,Yes,None,0,66439,37903,2026-02-08
O50586,Yes,Yes,None,0,50378,72883,2026-01-04
O50587,No,No,Early,32,0,259413,
O50588,Yes,Yes,None,0,141045,191907,2026-01-08
