offer_id,account_id,offer_sequence_number,ai_recommended_offer_percent,actual_agent_offer_percent,offer_type,offer_percent,installment_months,emi_percent_of_income,offer_channel,offer_timestamp,response_timestamp,days_between_offer_and_response,ai_confidence_score,human_override_flag,override_reason_code,customer_response,considered_offer_percents
O50013,A10010,1,71,71,Installment,71,6,20,Call,2026-03-27,2026-03-28,1,0.77,No,NONE,No Response,"[76, 71, 66]"
O50014,A10010,2,76,76,Installment,76,6,14,SMS,2026-01-30,2026-02-09,10,0.66,No,NONE,Accepted,"[81, 76, 71]"
O50015,A10011,1,84,84,Installment,84,6,15,Email,2026-01-03,2026-01-09,6,0.7,No,NONE,Accepted,"[89, 84, 79]"
O50016,A10012,1,56,56,Installment,56,3,21,SMS,2026-02-28,2026-03-08,8,0.64,No,NONE,Accepted,"[61, 56, 51]"
O50017,A10013,1,67,67,Installment,67,9,8,Call,2026-02-25,2026-03-13,16,0.73,No,NONE,Accepted,"[72, 67, 62]"
O50018,A10013,2,69,69,Installment,69,6,9,SMS,2026-01-01,2026-01-19,18,0.72,No,NONE,No Response,"[74, 69, 64]"
O50019,A10014,1,68,73,Installment,73,9,13,SMS,2026-02-25,2026-03-13,16,0.77,Yes,Agent_Discretion,Rejected,"[73, 68, 63]"
O50020,A10015,1,35,35,Lump-Sum,35,0,20,Email,2026-03-14,2026-03-19,5,0.76,No,NONE,Rejected,"[40, 35, 30]"
O50021,A10016,1,47,47,Installment,47,3,8,Email,2026-01-20,2026-01-26,6,0.88,No,NONE,Accepted,"[52, 47, 42]"
O50022,A10017,1,82,82,Installment,82,9,19,Call,2026-02-11,2026-02-13,2,0.89,No,NONE,Accepted,"[87, 82, 77]"
O50023,A10018,1,20,25,Lump-Sum,25,0,12,Email,2026-01-12,2026-01-16,4,0.62,Yes,Agent_Discretion,Accepted,"[25, 20, 15]"
O50024,A10019,1,35,35,Lump-Sum,35,0,15,Email,2026-01-24,2026-01-24,0,0.88,No,NONE,Rejected,"[40, 35, 30]"
O50025,A10019,2,27,27,Lump-Sum,27,0,16,SMS,2026-03-30,2026-04-01,2,0.65,No,NONE,Accepted,"[32, 27, 22]"
O50026,A10020,1,22,22,Lump-Sum,22,0,8,SMS,2026-02-10,2026-02-13,3,0.72,No,NONE,Accepted,"[27, 22, 17]"
O50027,A10021,1,52,52,Installment,52,9,10,Call,2026-01-17,2026-01-17,0,0.64,No,NONE,Accepted,"[57, 52, 47]"
O50028,A10022,1,57,57,Installment,57,3,21,SMS,2026-01-08,2026-01-09,1,0.75,No,NONE,Accepted,"[62, 57, 52]"
O50029,A10022,2,49,49,Installment,49,9,8,SMS,2026-02-17,2026-03-07,18,0.9,No,NONE,Accepted,"[54, 49, 44]"
O50030,A10023,1,25,25,Lump-Sum,25,0,21,SMS,2026-02-06,2026-02-22,16,0.75,No,NONE,No Response,"[30, 25, 20]"
O50031,A10024,1,40,40,Lump-Sum,40,0,9,SMS,2026-02-02,2026-02-04,2,0.69,No,NONE,Rejected,"[45, 40, 35]"
O50032,A10025,1,78,83,Installment,83,6,14,Call,2026-02-01,2026-02-15,14,0.64,Yes,Agent_Discretion,Accepted,"[83, 78, 73]"
O50033,A10025,2,81,81,Installment,81,6,14,SMS,2026-01-09,2026-01-19,10,0.65,No,NONE,Accepted,"[86, 81, 76]"
O50034,A10026,1,77,82,Installment,82,3,11,SMS,2026-01-07,2026-01-10,3,0.57,Yes,Agent_Discretion,Accepted,"[82, 77, 72]"
O50035,A10027,1,83,83,Installment,83,3,17,Email,2026-03-07,2026-03-25,18,0.89,No,NONE,Rejected,"[88, 83, 78]"
O50036,A10028,1,81,86,Installment,86,6,18,SMS,2026-03-11,2026-03-25,14,0.73,Yes,Agent_Discretion,Rejected,"[86, 81, 76]"
O50037,A10028,2,76,76,Installment,76,3,11,Call,2026-03-09,2026-03-14,5,0.74,No,NONE,Rejected,"[81, 76, 71]"
O50038,A10029,1,77,77,Installment,77,3,15,Email,2026-01-30,2026-02-17,18,0.7,No,NONE,Rejected,"[82, 77, 72]"
O50039,A10029,2,69,69,Installment,69,3,8,Call,2026-03-03,2026-03-11,8,0.87,No,NONE,Accepted,"[74, 69, 64]"
O50040,A10030,1,80,80,Installment,80,3,14,Email,2026-01-01,2026-01-16,15,0.7,No,NONE,Rejected,"[85, 80, 75]"
O50041,A10031,1,60,60,Installment,60,3,8,Call,2026-03-27,2026-04-09,13,0.85,No,NONE,Rejected,"[65, 60, 55]"
O50042,A10032,1,80,80,Installment,80,9,17,Call,2026-02-02,2026-02-06,4,0.88,No,NONE,No Response,"[85, 80, 75]"
O50043,A10033,1,29,29,Lump-Sum,29,0,15,SMS,2026-02-27,2026-02-27,0,0.79,No,NONE,Rejected,"[34, 29, 24]"
O50044,A10034,1,66,71,Installment,71,6,10,SMS,2026-02-01,2026-02-20,19,0.71,Yes,Agent_Discretion,Accepted,"[71, 66, 61]"
O50045,A10034,2,69,69,Installment,69,6,18,SMS,2026-03-06,2026-03-06,0,0.57,No,NONE,Accepted,"[74, 69, 64]"
O50046,A10035,1,63,63,Installment,63,6,15,SMS,2026-03-28,2026-04-13,16,0.85,No,NONE,Accepted,"[68, 63, 58]"
O50047,A10036,1,73,73,Installment,73,6,20,Email,2026-02-27,2026-03-19,20,0.86,No,NONE,Rejected,"[78, 73, 68]"
O50048,A10036,2,68,68,Installment,68,3,10,Call,2026-03-14,2026-03-16,2,0.64,No,NONE,Rejected,"[73, 68, 63]"
O50049,A10037,1,69,69,Installment,69,9,16,Email,2026-02-24,2026-03-08,12,0.59,No,NONE,No Response,"[74, 69, 64]"
O50050,A10037,2,84,84,Installment,84,9,10,SMS,2026-03-27,2026-04-08,12,0.57,No,NONE,No Response,"[89, 84, 79]"
O50051,A10038,1,53,53,Installment,53,9,17,Email,2026-03-19,2026-04-07,19,0.58,No,NONE,Accepted,"[58, 53, 48]"
O50052,A10038,2,56,56,Installment,56,3,14,SMS,2026-03-26,2026-03-29,3,0.59,No,NONE,No Response,"[61, 56, 51]"
O50053,A10039,1,58,58,Installment,58,9,20,Email,2026-01-05,2026-01-07,2,0.8,No,NONE,No Response,"[63, 58, 53]"
O50054,A10039,2,53,53,Installment,53,9,21,SMS,2026-01-17,2026-01-22,5,0.63,No,NONE,Accepted,"[58, 53, 48]"
O50055,A10040,1,46,51,Installment,51,9,15,SMS,2026-02-06,2026-02-11,5,0.68,Yes,Agent_Discretion,Rejected,"[51, 46, 41]"
O50056,A10040,2,51,51,Installment,51,6,19,Email,2026-01-04,2026-01-07,3,0.72,No,NONE,Accepted,"[56, 51, 46]"
O50057,A10041,1,74,74,Installment,74,3,20,Call,2026-02-08,2026-02-10,2,0.71,No,NONE,Accepted,"[79, 74, 69]"
O50058,A10041,2,72,77,Installment,77,9,20,Call,2026-02-08,2026-02-08,0,0.69,Yes,Agent_Discretion,Accepted,"[77, 72, 67]"
O50059,A10042,1,65,65,Installment,65,3,20,SMS,2026-01-06,2026-01-17,11,0.66,No,NONE,Accepted,"[70, 65, 60]"
O50060,A10043,1,69,69,Installment,69,3,9,Email,2026-01-19,2026-02-07,19,0.77,No,NONE,Rejected,"[74, 69, 64]"
O50061,A10043,2,65,65,Installment,65,9,16,Email,2026-01-03,2026-01-18,15,0.65,No,NONE,No Response,"[70, 65, 60]"
O50062,A10044,1,56,61,Installment,61,6,15,Call,2026-01-08,2026-01-11,3,0.63,Yes,Agent_Discretion,Accepted,"[61, 56, 51]"
O50063,A10044,2,49,49,Installment,49,3,8,SMS,2026-03-05,2026-03-21,16,0.83,No,NONE,Rejected,"[54, 49, 44]"
O50064,A10045,1,33,38,Lump-Sum,38,0,10,SMS,2026-01-06,2026-01-23,17,0.76,Yes,Agent_Discretion,Accepted,"[38, 33, 28]"
O50065,A10046,1,82,82,Installment,82,6,8,Call,2026-01-05,2026-01-05,0,0.9,No,NONE,Accepted,"[87, 82, 77]"
O50066,A10046,2,81,81,Installment,81,9,13,SMS,2026-01-01,2026-01-21,20,0.74,No,NONE,Rejected,"[86, 81, 76]"
O50067,A10047,1,69,69,Installment,69,9,8,SMS,2026-03-15,2026-03-24,9,0.71,No,NONE,Accepted,"[74, 69, 64]"
O50068,A10047,2,83,83,Installment,83,3,15,Call,2026-01-04,2026-01-04,0,0.68,No,NONE,Accepted,"[88, 83, 78]"
O50069,A10048,1,46,46,Installment,46,3,13,SMS,2026-01-03,2026-01-20,17,0.58,No,NONE,Rejected,"[51, 46, 41]"
O50070,A10048,2,61,61,Installment,61,3,12,Call,2026-02-16,2026-03-02,14,0.8,No,NONE,Accepted,"[66, 61, 56]"
O50071,A10049,1,46,46,Installment,46,9,10,Email,2026-03-23,2026-04-06,14,0.8,No,NONE,Accepted,"[51, 46, 41]"
O50072,A10050,1,59,59,Installment,59,3,20,Call,2026-02-20,2026-03-08,16,0.87,No,NONE,Accepted,"[64, 59, 54]"
O50073,A10051,1,49,49,Installment,49,3,21,Email,2026-02-22,2026-02-23,1,0.75,No,NONE,Accepted,"[54, 49, 44]"
O50074,A10052,1,42,42,Lump-Sum,42,0,15,SMS,2026-03-16,2026-03-31,15,0.86,No,NONE,Accepted,"[47, 42, 37]"
O50075,A10053,1,62,62,Installment,62,3,12,Call,2026-02-20,2026-03-10,18,0.65,No,NONE,Accepted,"[67, 62, 57]"
O50076,A10053,2,50,50,Installment,50,6,8,Call,2026-01-12,2026-01-25,13,0.67,No,NONE,Accepted,"[55, 50, 45]"
O50077,A10054,1,59,59,Installment,59,9,20,SMS,2026-02-25,2026-03-07,10,0.65,No,NONE,Rejected,"[64, 59, 54]"
O50078,A10055,1,64,64,Installment,64,6,19,Email,2026-02-25,2026-03-10,13,0.74,No,NONE,Rejected,"[69, 64, 59]"
O50079,A10055,2,58,58,Installment,58,9,14,Call,2026-01-07,2026-01-09,2,0.81,No,NONE,Accepted,"[63, 58, 53]"
O50080,A10056,1,70,70,Installment,70,6,14,SMS,2026-01-15,2026-01-19,4,0.84,No,NONE,Accepted,"[75, 70, 65]"
O50081,A10056,2,76,76,Installment,76,3,11,Call,2026-01-13,2026-02-01,19,0.83,No,NONE,Accepted,"[81, 76, 71]"
O50082,A10057,1,34,34,Lump-Sum,34,0,8,Email,2026-01-08,2026-01-15,7,0.68,No,NONE,Accepted,"[39, 34, 29]"
O50083,A10058,1,46,46,Installment,46,6,12,SMS,2026-02-28,2026-03-12,12,0.63,No,NONE,Accepted,"[51, 46, 41]"
O50084,A10058,2,50,50,Installment,50,6,21,Call,2026-01-04,2026-01-14,10,0.61,No,NONE,No Response,"[55, 50, 45]"
O50085,A10059,1,63,68,Installment,68,6,11,Email,2026-02-05,2026-02-10,5,0.85,Yes,Agent_Discretion,Rejected,"[68, 63, 58]"
O50086,A10060,1,43,43,Lump-Sum,43,0,18,Call,2026-03-03,2026-03-04,1,0.65,No,NONE,Rejected,"[48, 43, 38]"
O50087,A10061,1,48,48,Installment,48,9,8,Call,2026-01-20,2026-02-05,16,0.82,No,NONE,Accepted,"[53, 48, 43]"
O50088,A10062,1,68,68,Installment,68,6,9,Call,2026-01-03,2026-01-03,0,0.74,No,NONE,Accepted,"[73, 68, 63]"
O50089,A10063,1,52,52,Installment,52,3,8,SMS,2026-03-06,2026-03-10,4,0.76,No,NONE,Accepted,"[57, 52, 47]"
O50090,A10064,1,81,81,Installment,81,6,21,SMS,2026-03-01,2026-03-12,11,0.81,No,NONE,No Response,"[86, 81, 76]"
O50091,A10065,1,47,47,Installment,47,9,16,SMS,2026-03-05,2026-03-12,7,0.62,No,NONE,Accepted,"[52, 47, 42]"
O50092,A10066,1,49,49,Installment,49,3,20,Call,2026-03-19,2026-03-22,3,0.69,No,NONE,Rejected,"[54, 49, 44]"
O50093,A10067,1,78,78,Installment,78,9,8,SMS,2026-02-07,2026-02-07,0,0.67,No,NONE,Accepted,"[83, 78, 73]"
O50094,A10068,1,52,52,Installment,52,6,13,Email,2026-02-08,2026-02-26,18,0.77,No,NONE,Accepted,"[57, 52, 47]"
O50095,A10069,1,79,79,Installment,79,6,14,Email,2026-02-02,2026-02-21,19,0.83,No,NONE,Accepted,"[84, 79, 74]"
O50096,A10070,1,49,49,Installment,49,6,9,Call,2026-02-02,2026-02-05,3,0.72,No,NONE,Rejected,"[54, 49, 44]"
O50097,A10071,1,77,82,Installment,82,9,20,SMS,2026-03-29,2026-04-17,19,0.72,Yes,Agent_Discretion,Accepted,"[82, 77, 72]"
O50098,A10072,1,63,63,Installment,63,9,12,Email,2026-02-05,2026-02-15,10,0.89,No,NONE,Accepted,"[68, 63, 58]"
O50099,A10072,2,50,50,Installment,50,9,19,Call,2026-02-16,2026-03-01,13,0.76,No,NONE,Accepted,"[55, 50, 45]"
O50100,A10073,1,59,59,Installment,59,3,15,SMS,2026-02-12,2026-02-23,11,0.8,No,NONE,Accepted,"[64, 59, 54]"
O50101,A10073,2,53,53,Installment,53,3,13,Email,2026-01-29,2026-02-11,13,0.71,No,NONE,Accepted,"[58, 53, 48]"
O50102,A10074,1,58,58,Installment,58,9,13,Email,2026-03-28,2026-03-28,0,0.63,No,NONE,Rejected,"[63, 58, 53]"
O50103,A10074,2,59,64,Installment,64,3,12,Call,2026-01-09,2026-01-18,9,0.67,Yes,Agent_Discretion,Accepted,"[64, 59, 54]"
O50104,A10075,1,55,55,Installment,55,9,9,Email,2026-01-07,2026-01-24,17,0.71,No,NONE,Accepted,"[60, 55, 50]"
O50105,A10076,1,38,38,Lump-Sum,38,0,11,Call,2026-01-25,2026-01-31,6,0.56,No,NONE,Accepted,"[43, 38, 33]"
O50106,A10077,1,75,75,Installment,75,3,8,Email,2026-01-28,2026-02-14,17,0.89,No,NONE,Accepted,"[80, 75, 70]"
O50107,A10077,2,84,84,Installment,84,3,14,SMS,2026-03-04,2026-03-11,7,0.66,No,NONE,Accepted,"[89, 84, 79]"
O50108,A10078,1,83,83,Installment,83,3,20,Call,2026-01-30,2026-02-15,16,0.84,No,NONE,Rejected,"[88, 83, 78]"
O50109,A10079,1,63,63,Installment,63,6,21,Call,2026-03-07,2026-03-23,16,0.82,No,NONE,Accepted,"[68, 63, 58]"
O50110,A10080,1,71,71,Installment,71,9,21,Call,2026-01-10,2026-01-19,9,0.69,No,NONE,Accepted,"[76, 71, 66]"
O50111,A10081,1,62,62,Installment,62,3,14,Email,2026-01-08,2026-01-08,0,0.63,No,NONE,Rejected,"[67, 62, 57]"
O50112,A10082,1,79,79,Installment,79,9,15,Call,2026-02-20,2026-02-20,0,0.83,No,NONE,No Response,"[84, 79, 74]"
O50113,A10083,1,78,78,Installment,78,3,13,SMS,2026-03-09,2026-03-28,19,0.69,No,NONE,Accepted,"[83, 78, 73]"
O50114,A10083,2,82,87,Installment,87,9,12,Email,2026-01-07,2026-01-07,0,0.59,Yes,Agent_Discretion,No Response,"[87, 82, 77]"
O50115,A10084,1,62,62,Installment,62,9,17,Email,2026-02-16,2026-02-20,4,0.68,No,NONE,Rejected,"[67, 62, 57]"
O50116,A10084,2,56,56,Installment,56,6,16,Call,2026-02-06,2026-02-11,5,0.85,No,NONE,Accepted,"[61, 56, 51]"
O50117,A10085,1,76,76,Installment,76,9,8,Call,2026-03-15,2026-03-28,13,0.56,No,NONE,Accepted,"[81, 76, 71]"
O50118,A10085,2,72,72,Installment,72,3,13,Call,2026-01-25,2026-01-31,6,0.84,No,NONE,No Response,"[77, 72, 67]"
O50119,A10086,1,57,57,Installment,57,6,9,SMS,2026-02-06,2026-02-16,10,0.84,No,NONE,Accepted,"[62, 57, 52]"
O50120,A10087,1,49,49,Installment,49,6,13,SMS,2026-03-17,2026-04-06,20,0.64,No,NONE,Accepted,"[54, 49, 44]"
O50121,A10088,1,66,66,Installment,66,6,20,SMS,2026-02-22,2026-02-28,6,0.7,No,NONE,Accepted,"[71, 66, 61]"
O50122,A10088,2,78,83,Installment,83,3,10,SMS,2026-02-23,2026-03-05,10,0.76,Yes,Agent_Discretion,Accepted,"[83, 78, 73]"
O50123,A10089,1,72,72,Installment,72,9,14,Email,2026-02-05,2026-02-21,16,0.88,No,NONE,Accepted,"[77, 72, 67]"
O50124,A10090,1,41,41,Lump-Sum,41,0,11,Email,2026-02-02,2026-02-05,3,0.76,No,NONE,Accepted,"[46, 41, 36]"
O50125,A10090,2,32,32,Lump-Sum,32,0,12,SMS,2026-03-14,2026-03-15,1,0.58,No,NONE,Rejected,"[37, 32, 27]"
O50126,A10091,1,75,75,Installment,75,9,10,Call,2026-01-25,2026-01-31,6,0.83,No,NONE,Rejected,"[80, 75, 70]"
O50127,A10092,1,66,71,Installment,71,3,8,Call,2026-02-13,2026-03-01,16,0.79,Yes,Agent_Discretion,Accepted,"[71, 66, 61]"
O50128,A10093,1,80,80,Installment,80,3,14,SMS,2026-01-08,2026-01-28,20,0.79,No,NONE,Rejected,"[85, 80, 75]"
O50129,A10094,1,56,56,Installment,56,3,17,Email,2026-01-26,2026-02-03,8,0.57,No,NONE,Rejected,"[61, 56, 51]"
O50130,A10095,1,40,40,Lump-Sum,40,0,12,Email,2026-01-07,2026-01-20,13,0.65,No,NONE,No Response,"[45, 40, 35]"
O50131,A10095,2,37,37,Lump-Sum,37,0,14,Email,2026-03-23,2026-04-11,19,0.66,No,NONE,Rejected,"[42, 37, 32]"
O50132,A10096,1,43,43,Lump-Sum,43,0,9,Email,2026-03-01,2026-03-13,12,0.79,No,NONE,Accepted,"[48, 43, 38]"
O50133,A10097,1,76,76,Installment,76,6,8,SMS,2026-01-04,2026-01-16,12,0.77,No,NONE,Accepted,"[81, 76, 71]"
O50134,A10097,2,67,67,Installment,67,3,9,Email,2026-01-30,2026-02-11,12,0.57,No,NONE,Accepted,"[72, 67, 62]"
O50135,A10098,1,81,81,Installment,81,9,16,Call,2026-02-26,2026-03-13,15,0.58,No,NONE,Accepted,"[86, 81, 76]"
O50136,A10099,1,45,45,Installment,45,6,15,Call,2026-01-03,2026-01-15,12,0.85,No,NONE,Rejected,"[50, 45, 40]"
O50137,A10100,1,60,65,Installment,65,9,8,SMS,2026-03-20,2026-03-28,8,0.79,Yes,Agent_Discretion,Accepted,"[65, 60, 55]"
O50138,A10101,1,69,74,Installment,74,9,21,Email,2026-03-11,2026-03-17,6,0.87,Yes,Agent_Discretion,No Response,"[74, 69, 64]"
O50139,A10101,2,71,71,Installment,71,3,13,SMS,2026-02-28,2026-03-07,7,0.84,No,NONE,Accepted,"[76, 71, 66]"
O50140,A10102,1,53,53,Installment,53,3,12,Call,2026-01-03,2026-01-08,5,0.89,No,NONE,No Response,"[58, 53, 48]"
O50141,A10103,1,81,81,Installment,81,6,21,SMS,2026-02-04,2026-02-21,17,0.6,No,NONE,Rejected,"[86, 81, 76]"
O50142,A10103,2,70,70,Installment,70,6,12,Call,2026-03-30,2026-04-07,8,0.71,No,NONE,Accepted,"[75, 70, 65]"
O50143,A10104,1,53,58,Installment,58,3,15,SMS,2026-03-17,2026-03-26,9,0.74,Yes,Agent_Discretion,Accepted,"[58, 53, 48]"
O50144,A10105,1,59,64,Installment,64,6,9,Call,2026-01-05,2026-01-20,15,0.89,Yes,Agent_Discretion,Accepted,"[64, 59, 54]"
O50145,A10106,1,77,77,Installment,77,6,20,Email,2026-02-09,2026-02-21,12,0.84,No,NONE,Accepted,"[82, 77, 72]"
O50146,A10106,2,66,66,Installment,66,3,13,Email,2026-03-18,2026-03-30,12,0.85,No,NONE,Accepted,"[71, 66, 61]"
O50147,A10107,1,60,60,Installment,60,6,11,Email,2026-02-14,2026-03-06,20,0.79,No,NONE,Accepted,"[65, 60, 55]"
O50148,A10108,1,57,57,Installment,57,6,18,SMS,2026-01-31,2026-02-09,9,0.81,No,NONE,Accepted,"[62, 57, 52]"
O50149,A10108,2,48,48,Installment,48,9,9,SMS,2026-03-18,2026-03-29,11,0.77,No,NONE,No Response,"[53, 48, 43]"
O50150,A10109,1,66,66,Installment,66,9,13,Email,2026-03-29,2026-04-10,12,0.82,No,NONE,Accepted,"[71, 66, 61]"
O50151,A10109,2,66,66,Installment,66,6,12,SMS,2026-03-01,2026-03-15,14,0.83,No,NONE,Accepted,"[71, 66, 61]"
O50152,A10110,1,23,23,Lump-Sum,23,0,13,SMS,2026-01-17,2026-01-28,11,0.75,No,NONE,Accepted,"[28, 23, 18]"
O50153,A10110,2,43,48,Lump-Sum,48,0,20,Email,2026-02-19,2026-03-04,13,0.6,Yes,Agent_Discretion,Rejected,"[48, 43, 38]"
O50154,A10111,1,75,75,Installment,75,9,17,Email,2026-03-20,2026-04-07,18,0.71,No,NONE,Accepted,"[80, 75, 70]"
O50155,A10112,1,81,86,Installment,86,9,20,SMS,2026-02-08,2026-02-22,14,0.65,Yes,Agent_Discretion,Rejected,"[86, 81, 76]"
O50156,A10112,2,79,79,Installment,79,9,10,SMS,2026-01-22,2026-02-01,10,0.89,No,NONE,Accepted,"[84, 79, 74]"
O50157,A10113,1,34,34,Lump-Sum,34,0,13,Email,2026-02-28,2026-03-19,19,0.65,No,NONE,No Response,"[39, 34, 29]"
O50158,A10113,2,20,20,Lump-Sum,20,0,9,SMS,2026-02-07,2026-02-21,14,0.62,No,NONE,No Response,"[25, 20, 15]"
O50159,A10114,1,62,62,Installment,62,6,16,SMS,2026-03-21,2026-03-28,7,0.58,No,NONE,Accepted,"[67, 62, 57]"
O50160,A10114,2,58,58,Installment,58,3,19,SMS,2026-03-12,2026-03-14,2,0.87,No,NONE,No Response,"[63, 58, 53]"
O50161,A10115,1,59,59,Installment,59,3,21,SMS,2026-03-19,2026-03-25,6,0.62,No,NONE,Accepted,"[64, 59, 54]"
O50162,A10116,1,66,66,Installment,66,3,15,SMS,2026-01-11,2026-01-23,12,0.58,No,NONE,Accepted,"[71, 66, 61]"
O50163,A10117,1,50,50,Installment,50,6,16,Email,2026-02-14,2026-02-14,0,0.72,No,NONE,Accepted,"[55, 50, 45]"
O50164,A10118,1,58,58,Installment,58,3,17,Call,2026-03-21,2026-04-09,19,0.66,No,NONE,Accepted,"[63, 58, 53]"
O50165,A10119,1,57,62,Installment,62,6,13,Email,2026-03-18,2026-04-06,19,0.6,Yes,Agent_Discretion,Rejected,"[62, 57, 52]"
O50166,A10120,1,82,82,Installment,82,9,20,Email,2026-02-13,2026-03-01,16,0.86,No,NONE,Rejected,"[87, 82, 77]"
O50167,A10120,2,73,78,Installment,78,6,19,Call,2026-02-01,2026-02-09,8,0.77,Yes,Agent_Discretion,Rejected,"[78, 73, 68]"
O50168,A10121,1,51,51,Installment,51,6,17,Call,2026-03-21,2026-03-24,3,0.71,No,NONE,Rejected,"[56, 51, 46]"
O50169,A10121,2,53,53,Installment,53,6,13,Email,2026-01-14,2026-01-24,10,0.78,No,NONE,Accepted,"[58, 53, 48]"
O50170,A10122,1,83,83,Installment,83,3,14,SMS,2026-02-14,2026-02-21,7,0.78,No,NONE,Accepted,"[88, 83, 78]"
O50171,A10122,2,82,87,Installment,87,3,18,Email,2026-03-24,2026-03-28,4,0.58,Yes,Agent_Discretion,Accepted,"[87, 82, 77]"
O50172,A10123,1,79,79,Installment,79,6,12,Email,2026-03-17,2026-04-02,16,0.7,No,NONE,Rejected,"[84, 79, 74]"
O50173,A10124,1,76,76,Installment,76,3,10,SMS,2026-03-01,2026-03-18,17,0.7,No,NONE,Rejected,"[81, 76, 71]"
O50174,A10124,2,68,68,Installment,68,6,14,Call,2026-02-03,2026-02-06,3,0.9,No,NONE,Accepted,"[73, 68, 63]"
O50175,A10125,1,47,47,Installment,47,9,8,Email,2026-02-09,2026-03-01,20,0.82,No,NONE,Accepted,"[52, 47, 42]"
O50176,A10126,1,54,54,Installment,54,9,12,SMS,2026-03-19,2026-03-20,1,0.57,No,NONE,Accepted,"[59, 54, 49]"
O50177,A10126,2,59,59,Installment,59,6,14,Call,2026-03-30,2026-04-18,19,0.78,No,NONE,Accepted,"[64, 59, 54]"
O50178,A10127,1,67,67,Installment,67,3,14,Email,2026-03-06,2026-03-13,7,0.63,No,NONE,No Response,"[72, 67, 62]"
O50179,A10128,1,80,80,Installment,80,6,16,SMS,2026-01-10,2026-01-21,11,0.71,No,NONE,Rejected,"[85, 80, 75]"
O50180,A10129,1,84,84,Installment,84,3,19,SMS,2026-02-06,2026-02-20,14,0.82,No,NONE,Rejected,"[89, 84, 79]"
O50181,A10129,2,79,79,Installment,79,6,21,Call,2026-03-02,2026-03-21,19,0.59,No,NONE,Accepted,"[84, 79, 74]"
O50182,A10130,1,65,65,Installment,65,3,18,SMS,2026-03-11,2026-03-15,4,0.59,No,NONE,Rejected,"[70, 65, 60]"
O50183,A10131,1,64,64,Installment,64,6,9,SMS,2026-03-29,2026-04-08,10,0.77,No,NONE,No Response,"[69, 64, 59]"
O50184,A10131,2,59,59,Installment,59,6,11,Email,2026-01-23,2026-02-03,11,0.56,No,NONE,Accepted,"[64, 59, 54]"
O50185,A10132,1,29,29,Lump-Sum,29,0,12,SMS,2026-01-08,2026-01-25,17,0.81,No,NONE,Accepted,"[34, 29, 24]"
O50186,A10132,2,25,25,Lump-Sum,25,0,9,SMS,2026-03-27,2026-04-10,14,0.84,No,NONE,No Response,"[30, 25, 20]"
O50187,A10133,1,82,82,Installment,82,9,15,SMS,2026-01-26,2026-02-02,7,0.56,No,NONE,No Response,"[87, 82, 77]"
O50188,A10133,2,78,78,Installment,78,9,21,SMS,2026-01-01,2026-01-19,18,0.78,No,NONE,Rejected,"[83, 78, 73]"
O50189,A10134,1,46,46,Installment,46,3,16,SMS,2026-03-11,2026-03-19,8,0.85,No,NONE,Rejected,"[51, 46, 41]"
O50190,A10135,1,28,33,Lump-Sum,33,0,10,Call,2026-01-04,2026-01-09,5,0.87,Yes,Agent_Discretion,No Response,"[33, 28, 23]"
O50191,A10136,1,32,32,Lump-Sum,32,0,16,SMS,2026-03-29,2026-04-04,6,0.66,No,NONE,Accepted,"[37, 32, 27]"
