fairness_bucket_id,risk_band,income_band,dpd_band,product_type
F00127,Low,Low,0-60,Personal Loan
F00128,Low,Low,0-60,Telecom
F00129,Low,High,0-60,Credit Card
F00130,Low,Medium,0-60,Telecom
F00131,Medium,High,61-180,Credit Card
F00132,High,High,180+,Credit Card
F00133,Low,Low,0-60,Personal Loan
F00134,Medium,Medium,61-180,Telecom
F00135,High,Low,180+,Personal Loan
F00136,High,Low,180+,Credit Card
F00137,Medium,Medium,61-180,Credit Card
F00138,Medium,Medium,61-180,Credit Card
F00139,Low,High,0-60,Credit Card
F00140,Medium,Medium,61-180,Credit Card
F00141,Low,High,0-60,Credit Card
F00142,Low,High,0-60,Telecom
F00143,Medium,Low,61-180,Credit Card
F00144,Low,Low,0-60,Personal Loan
F00145,High,Low,180+,Credit Card
F00146,Medium,Medium,61-180,Credit Card
F00147,Medium,Medium,61-180,Personal Loan
F00148,Medium,High,61-180,Credit Card
F00149,Medium,High,61-180,Credit Card
F00150,Medium,High,61-180,Personal Loan
F00151,Low,Medium,0-60,Telecom
F00152,Low,High,0-60,Credit Card
F00153,Medium,High,61-180,Telecom
F00154,Low,Medium,0-60,Credit Card
F00155,Low,Low,0-60,Telecom
F00156,Low,Medium,0-60,Personal Loan
F00157,Medium,High,61-180,Telecom
F00158,Medium,Low,61-180,Credit Card
F00159,Low,Medium,0-60,Telecom
F00160,Medium,Low,61-180,Personal Loan
F00161,Low,Low,0-60,Credit Card
F00162,Medium,High,61-180,Credit Card
F00163,Low,Medium,0-60,Telecom
F00164,Low,High,0-60,Credit Card
F00165,Low,Medium,0-60,Credit Card
F00166,Low,Medium,0-60,Credit Card
F00167,Low,Medium,0-60,Credit Card
F00168,Low,Low,0-60,Personal Loan
F00169,Low,Low,0-60,Telecom
F00170,Low,High,0-60,Personal Loan
F00171,Low,Medium,0-60,Telecom
F00172,Medium,Medium,61-180,Credit Card
F00173,Low,Low,0-60,Credit Card
F00174,Medium,Medium,61-180,Credit Card
F00175,Medium,High,61-180,Credit Card
F00176,Low,Medium,0-60,Credit Card
F00177,Low,Medium,0-60,Telecom
F00178,Low,Low,0-60,Personal Loan
F00179,Medium,Medium,61-180,Personal Loan
F00180,Low,High,0-60,Telecom
F00181,Medium,High,61-180,Credit Card
F00182,Medium,High,61-180,Credit Card
F00183,High,High,180+,Personal Loan
F00184,Medium,Low,61-180,Personal Loan
F00185,Medium,Medium,61-180,Credit Card
F00186,Low,Low,0-60,Credit Card
F00187,Low,High,0-60,Telecom
F00188,High,Medium,180+,Credit Card
F00189,Low,Low,0-60,Credit Card
F00190,Low,Medium,0-60,Telecom
F00191,High,High,180+,Credit Card
F00192,Low,High,0-60,Telecom
F00193,Low,Medium,0-60,Credit Card
F00194,Medium,Medium,61-180,Telecom
F00195,Medium,High,61-180,Credit Card
F00196,Low,Low,0-60,Personal Loan
F00197,Low,High,0-60,Personal Loan
F00198,Medium,Medium,61-180,Telecom
F00199,Low,Low,0-60,Credit Card
F00200,Low,High,0-60,Telecom
F00201,Medium,Medium,61-180,Credit Card
F00202,Low,Medium,0-60,Telecom
F00203,Low,Medium,0-60,Telecom
F00204,Medium,Low,61-180,Telecom
F00205,Medium,Low,61-180,Credit Card
F00206,Medium,Low,61-180,Credit Card
F00207,Low,Low,0-60,Credit Card
F00208,Low,Medium,0-60,Telecom
F00209,High,Medium,180+,Telecom
F00210,High,Low,180+,Personal Loan
F00211,Medium,Low,61-180,Credit Card
F00212,Medium,Medium,61-180,Telecom
F00213,Medium,High,61-180,Personal Loan
F00214,Low,High,0-60,Personal Loan
F00215,Low,Medium,0-60,Personal Loan
F00216,High,Low,180+,Telecom
F00217,High,Low,180+,Credit Card
F00218,Low,Medium,0-60,Personal Loan
F00219,Medium,High,61-180,Personal Loan
F00220,Low,Medium,0-60,Personal Loan
F00221,Medium,Medium,61-180,Telecom
F00222,Medium,Medium,61-180,Credit Card
F00223,Low,Low,0-60,Credit Card
F00224,Low,Low,0-60,Credit Card
F00225,High,Low,180+,Credit Card
F00226,Medium,High,61-180,Personal Loan
F00227,Medium,Medium,61-180,Credit Card
F00228,Low,Medium,0-60,Personal Loan
F00229,Medium,High,61-180,Credit Card
F00230,Medium,Low,61-180,Personal Loan
F00231,Medium,Medium,61-180,Credit Card
F00232,Low,High,0-60,Credit Card
F00233,Low,Low,0-60,Telecom
F00234,Low,Low,0-60,Personal Loan
F00235,Low,Medium,0-60,Personal Loan
F00236,Medium,Low,61-180,Telecom
F00237,Medium,High,61-180,Personal Loan
F00238,Low,Low,0-60,Telecom
F00239,Low,Medium,0-60,Credit Card
F00240,Medium,High,61-180,Telecom
F00241,High,Low,180+,Telecom
F00242,High,Low,180+,Credit Card
F00243,High,Low,180+,Personal Loan
F00244,Medium,High,61-180,Telecom
F00245,Low,Low,0-60,Credit Card
F00246,Low,Medium,0-60,Credit Card
F00247,Medium,High,61-180,Credit Card
F00248,Medium,High,61-180,Credit Card
F00249,Low,Low,0-60,Personal Loan
F00250,Medium,High,61-180,Personal Loan
F00251,Medium,Medium,61-180,Telecom
F00252,Medium,High,61-180,Credit Card
F00253,Low,Medium,0-60,Personal Loan
F00254,Medium,Low,61-180,Credit Card
F00255,Low,High,0-60,Personal Loan
F00256,Medium,Medium,61-180,Credit Card
F00257,Medium,Low,61-180,Telecom
F00258,Low,Medium,0-60,Personal Loan
F00259,Medium,High,61-180,Personal Loan
F00260,Low,High,0-60,Personal Loan
F00261,Low,Medium,0-60,Credit Card
F00262,High,Low,180+,Credit Card
F00263,Low,Low,0-60,Personal Loan
F00264,Low,Low,0-60,Telecom
F00265,Medium,Low,61-180,Credit Card
F00266,Medium,Medium,61-180,Personal Loan
F00267,Low,High,0-60,Credit Card
F00268,High,Medium,180+,Credit Card
F00269,Low,High,0-60,Credit Card
F00270,High,High,180+,Credit Card
F00271,Low,Medium,0-60,Credit Card
F00272,Low,Medium,0-60,Credit Card
F00273,Low,Low,0-60,Telecom
F00274,Medium,High,61-180,Credit Card
F00275,Low,Low,0-60,Telecom
F00276,Medium,Low,61-180,Telecom
F00277,Low,Medium,0-60,Personal Loan
F00278,Medium,Low,61-180,Credit Card
F00279,Low,Low,0-60,Credit Card
F00280,Low,Low,0-60,Credit Card
F00281,Medium,Medium,61-180,Personal Loan
F00282,Low,Low,0-60,Credit Card
F00283,Medium,Low,61-180,Credit Card
F00284,Medium,Medium,61-180,Credit Card
F00285,Low,Medium,0-60,Telecom
F00286,Medium,Medium,61-180,Personal Loan
F00287,Low,High,0-60,Credit Card
F00288,Low,Medium,0-60,Credit Card
F00289,Medium,High,61-180,Personal Loan
F00290,Medium,Medium,61-180,Credit Card
F00291,Medium,Medium,61-180,Personal Loan
F00292,Low,Medium,0-60,Telecom
F00293,Low,High,0-60,Credit Card
F00294,Medium,Low,61-180,Telecom
F00295,Low,Medium,0-60,Credit Card
F00296,Low,High,0-60,Telecom
F00297,Medium,Medium,61-180,Telecom
F00298,Medium,Low,61-180,Credit Card
F00299,High,High,180+,Credit Card
F00300,Medium,Medium,61-180,Personal Loan
F00301,Low,Medium,0-60,Personal Loan
F00302,Low,Medium,0-60,Credit Card
F00303,Low,Low,0-60,Credit Card
F00304,Medium,High,61-180,Telecom
F00305,High,Medium,180+,Telecom
F00306,Low,Medium,0-60,Personal Loan
F00307,High,High,180+,Credit Card
F00308,Low,Low,0-60,Personal Loan
F00309,Medium,Low,61-180,Personal Loan
F00310,Low,Low,0-60,Credit Card
F00311,Low,Low,0-60,Credit Card
F00312,Low,Low,0-60,Telecom
F00313,Medium,Medium,61-180,Credit Card
F00314,Medium,Medium,61-180,Personal Loan
F00315,High,Medium,180+,Personal Loan
F00316,Medium,High,61-180,Credit Card
F00317,Low,Low,0-60,Credit Card
F00318,Medium,High,61-180,Credit Card
F00319,Low,Low,0-60,Credit Card
F00320,Low,Low,0-60,Telecom
F00321,Low,High,0-60,Telecom
F00322,Low,Medium,0-60,Personal Loan
F00323,Low,High,0-60,Credit Card
F00324,Medium,Medium,61-180,Telecom
F00325,High,Low,180+,Credit Card
F00326,Medium,Medium,61-180,Credit Card
F00327,Medium,Low,61-180,Personal Loan
F00328,Low,Low,0-60,Telecom
F00329,Low,Medium,0-60,Credit Card
F00330,Low,Low,0-60,Personal Loan
F00331,Low,Medium,0-60,Credit Card
F00332,Low,High,0-60,Credit Card
F00333,Low,Low,0-60,Credit Card
F00334,Medium,Low,61-180,Credit Card
F00335,High,High,180+,Credit Card
F00336,Low,Low,0-60,Credit Card
F00337,Low,High,0-60,Credit Card
F00338,Medium,High,61-180,Personal Loan
F00339,Medium,Low,61-180,Credit Card
F00340,Medium,High,61-180,Credit Card
F00341,Medium,High,61-180,Credit Card
F00342,Medium,High,61-180,Credit Card
F00343,Low,Low,0-60,Credit Card
F00344,Medium,High,61-180,Credit Card
F00345,Low,Medium,0-60,Credit Card
F00346,Medium,Medium,61-180,Personal Loan
F00347,Medium,High,61-180,Credit Card
F00348,Medium,Medium,61-180,Credit Card
F00349,Medium,Low,61-180,Credit Card
F00350,Low,High,0-60,Personal Loan
F00351,Medium,Low,61-180,Telecom
F00352,Low,Medium,0-60,Credit Card
F00353,Low,Medium,0-60,Credit Card
F00354,High,Medium,180+,Credit Card
F00355,Medium,Medium,61-180,Personal Loan
F00356,Low,Low,0-60,Personal Loan
F00357,High,High,180+,Credit Card
F00358,Low,Low,0-60,Credit Card
F00359,Low,High,0-60,Personal Loan
F00360,Low,Medium,0-60,Credit Card
F00361,Medium,Medium,61-180,Personal Loan
F00362,Medium,Medium,61-180,Personal Loan
F00363,Low,Medium,0-60,Personal Loan
F00364,Low,Low,0-60,Personal Loan
F00365,Medium,High,61-180,Credit Card
F00366,Medium,High,61-180,Credit Card
F00367,Medium,Medium,61-180,Credit Card
F00368,Medium,Low,61-180,Personal Loan
F00369,Medium,Medium,61-180,Credit Card
F00370,Medium,High,61-180,Personal Loan
F00371,Medium,High,61-180,Personal Loan
F00372,Low,Low,0-60,Credit Card
F00373,High,High,180+,Personal Loan
F00374,Low,Low,0-60,Credit Card
F00375,Low,Medium,0-60,Credit Card
F00376,Medium,Medium,61-180,Credit Card
F00377,Low,Low,0-60,Credit Card
F00378,Medium,Medium,61-180,Personal Loan
F00379,Low,Low,0-60,Credit Card
F00380,Low,Medium,0-60,Personal Loan
F00381,Low,Medium,0-60,Credit Card
F00382,Low,High,0-60,Telecom
F00383,Low,High,0-60,Credit Card
F00384,High,Low,180+,Personal Loan
F00385,High,Medium,180+,Credit Card
F00386,Medium,Medium,61-180,Personal Loan
F00387,Low,Medium,0-60,Personal Loan
F00388,Medium,High,61-180,Telecom
F00389,Medium,Low,61-180,Personal Loan
F00390,Low,Low,0-60,Telecom
F00391,Medium,Low,61-180,Credit Card
F00392,High,Medium,180+,Credit Card
F00393,Low,Low,0-60,Telecom
F00394,Medium,High,61-180,Personal Loan
F00395,Medium,High,61-180,Credit Card
F00396,Medium,Low,61-180,Telecom
F00397,Medium,Medium,61-180,Telecom
F00398,Medium,High,61-180,Credit Card
F00399,Low,High,0-60,Credit Card
F00400,Medium,Medium,61-180,Credit Card
F00401,Medium,Medium,61-180,Credit Card
F00402,Medium,Low,61-180,Credit Card
F00403,Medium,High,61-180,Credit Card
F00404,Medium,High,61-180,Personal Loan
F00405,Medium,Low,61-180,Credit Card
F00406,Medium,Low,61-180,Personal Loan
F00407,Low,High,0-60,Credit Card
F00408,Medium,High,61-180,Telecom
F00409,Low,Medium,0-60,Personal Loan
F00410,Medium,Medium,61-180,Personal Loan
F00411,Medium,High,61-180,Credit Card
F00412,High,High,180+,Credit Card
F00413,Medium,Medium,61-180,Telecom
F00414,Low,Low,0-60,Credit Card
F00415,Low,Low,0-60,Credit Card
F00416,Medium,High,61-180,Credit Card
F00417,Low,High,0-60,Personal Loan
F00418,Medium,Medium,61-180,Credit Card
F00419,Low,High,0-60,Credit Card
F00420,Medium,Low,61-180,Credit Card
F00421,Low,Medium,0-60,Personal Loan
F00422,Medium,Medium,61-180,Personal Loan
F00423,Low,Low,0-60,Credit Card
F00424,Low,Low,0-60,Personal Loan
F00425,Low,Medium,0-60,Credit Card
F00426,Low,High,0-60,Telecom
F00427,High,Low,180+,Personal Loan
F00428,Medium,Medium,61-180,Credit Card
F00429,Medium,High,61-180,Credit Card
F00430,Medium,High,61-180,Telecom
F00431,Low,Medium,0-60,Credit Card
F00432,Low,Low,0-60,Personal Loan
F00433,Medium,High,61-180,Personal Loan
F00434,High,Low,180+,Telecom
F00435,Medium,Medium,61-180,Credit Card
F00436,Low,Low,0-60,Personal Loan
F00437,High,High,180+,Personal Loan
F00438,Medium,Medium,61-180,Personal Loan
F00439,Low,High,0-60,Personal Loan
F00440,Low,High,0-60,Credit Card
F00441,Medium,Medium,61-180,Telecom
F00442,Medium,Medium,61-180,Credit Card
F00443,Low,Low,0-60,Telecom
F00444,High,Medium,180+,Personal Loan
F00445,Medium,Low,61-180,Credit Card
F00446,Low,Medium,0-60,Credit Card
F00447,Medium,High,61-180,Personal Loan
F00448,Low,Low,0-60,Telecom
F00449,Low,Medium,0-60,Telecom
F00450,Low,Low,0-60,Personal Loan
F00451,High,Low,180+,Personal Loan
F00452,Medium,Low,61-180,Credit Card
F00453,Low,High,0-60,Credit Card
F00454,Low,Medium,0-60,Telecom
F00455,Medium,Medium,61-180,Credit Card
F00456,Medium,Low,61-180,Credit Card
F00457,Medium,Medium,61-180,Credit Card
F00458,Low,High,0-60,Telecom
F00459,Low,Low,0-60,Personal Loan
F00460,Low,High,0-60,Personal Loan
F00461,Medium,High,61-180,Telecom
F00462,Low,Medium,0-60,Personal Loan
F00463,Low,Medium,0-60,Credit Card
F00464,Low,Low,0-60,Personal Loan
F00465,Medium,High,61-180,Credit Card
F00466,Low,Medium,0-60,Credit Card
F00467,Medium,Low,61-180,Personal Loan
F00468,Low,Low,0-60,Personal Loan
F00469,High,Medium,180+,Personal Loan
F00470,Medium,High,61-180,Credit Card
F00471,Medium,Low,61-180,Credit Card
F00472,Low,Medium,0-60,Telecom
F00473,Medium,Low,61-180,Personal Loan
F00474,Medium,Medium,61-180,Personal Loan
F00475,Low,Low,0-60,Personal Loan
F00476,Medium,High,61-180,Credit Card
F00477,Medium,Low,61-180,Credit Card
F00478,Medium,Medium,61-180,Credit Card
F00479,Medium,Medium,61-180,Credit Card
F00480,Low,Medium,0-60,Credit Card
F00481,Medium,High,61-180,Personal Loan
F00482,Low,Medium,0-60,Credit Card
F00483,Medium,Medium,61-180,Telecom
F00484,Low,High,0-60,Credit Card
F00485,Medium,Medium,61-180,Credit Card
F00486,Low,Medium,0-60,Credit Card
F00487,Medium,High,61-180,Credit Card
F00488,Medium,Low,61-180,Telecom
F00489,Medium,Medium,61-180,Personal Loan
F00490,Medium,Low,61-180,Telecom
F00491,Medium,High,61-180,Personal Loan
F00492,Medium,Medium,61-180,Credit Card
F00493,Medium,Medium,61-180,Telecom
F00494,Low,High,0-60,Personal Loan
F00495,Medium,Medium,61-180,Credit Card
F00496,Low,Low,0-60,Telecom
F00497,Medium,Low,61-180,Personal Loan
F00498,Medium,High,61-180,Personal Loan
F00499,Low,Medium,0-60,Personal Loan
F00500,High,Medium,180+,Personal Loan
F00501,Low,High,0-60,Credit Card
F00502,Low,Low,0-60,Credit Card
F00503,Medium,Low,61-180,Telecom
F00504,Low,High,0-60,Credit Card
F00505,Medium,Medium,61-180,Credit Card
F00506,Medium,Low,61-180,Credit Card
F00507,Medium,Medium,61-180,Personal Loan
F00508,High,Low,180+,Personal Loan
F00509,Medium,Medium,61-180,Credit Card
F00510,Low,Low,0-60,Credit Card
F00511,Medium,Medium,61-180,Personal Loan
F00512,Medium,High,61-180,Personal Loan
F00513,Medium,Low,61-180,Personal Loan
F00514,Low,High,0-60,Personal Loan
F00515,Medium,Low,61-180,Telecom
F00516,Medium,Low,61-180,Credit Card
F00517,Medium,Low,61-180,Credit Card
F00518,Medium,Medium,61-180,Personal Loan
F00519,Medium,Low,61-180,Personal Loan
F00520,Low,High,0-60,Credit Card
F00521,Low,Medium,0-60,Personal Loan
F00522,Medium,Medium,61-180,Credit Card
F00523,Medium,Low,61-180,Personal Loan
F00524,Medium,Medium,61-180,Personal Loan
F00525,Medium,Low,61-180,Credit Card
F00526,Low,High,0-60,Credit Card
F00527,Medium,Medium,61-180,Telecom
F00528,Medium,Medium,61-180,Personal Loan
F00529,High,High,180+,Personal Loan
F00530,Low,High,0-60,Credit Card
F00531,Medium,Low,61-180,Telecom
F00532,Low,Medium,0-60,Telecom
F00533,Medium,High,61-180,Personal Loan
F00534,Low,Medium,0-60,Credit Card
F00535,Low,High,0-60,Credit Card
F00536,Low,Medium,0-60,Telecom
F00537,Low,High,0-60,Personal Loan
F00538,High,Medium,180+,Credit Card
F00539,High,Low,180+,Personal Loan
F00540,Medium,Medium,61-180,Personal Loan
F00541,Medium,Low,61-180,Personal Loan
F00542,Medium,Low,61-180,Credit Card
F00543,Low,Low,0-60,Credit Card
F00544,Low,Medium,0-60,Personal Loan
F00545,Low,Medium,0-60,Telecom
F00546,Low,Low,0-60,Personal Loan
F00547,Medium,High,61-180,Credit Card
F00548,Low,Medium,0-60,Telecom
F00549,Medium,Medium,61-180,Personal Loan
F00550,Medium,Medium,61-180,Telecom
F00551,Medium,Medium,61-180,Personal Loan
F00552,Medium,Low,61-180,Credit Card
F00553,Low,High,0-60,Credit Card
F00554,High,High,180+,Telecom
F00555,Low,High,0-60,Personal Loan
F00556,Low,High,0-60,Personal Loan
F00557,Low,Low,0-60,Credit Card
F00558,Medium,Medium,61-180,Personal Loan
F00559,Medium,Medium,61-180,Personal Loan
F00560,Low,Low,0-60,Personal Loan
F00561,Low,Medium,0-60,Personal Loan
F00562,Medium,Low,61-180,Telecom
F00563,Medium,High,61-180,Credit Card
F00564,Low,Low,0-60,Credit Card
F00565,Medium,Medium,61-180,Personal Loan
F00566,High,Medium,180+,Telecom
F00567,Low,Medium,0-60,Credit Card
F00568,Low,High,0-60,Personal Loan
F00569,Low,Low,0-60,Credit Card
F00570,Medium,Low,61-180,Personal Loan
F00571,Low,Medium,0-60,Telecom
F00572,Low,Low,0-60,Credit Card
F00573,Low,Medium,0-60,Personal Loan
F00574,High,Low,180+,Credit Card
F00575,Low,High,0-60,Credit Card
F00576,Low,High,0-60,Personal Loan
F00577,Low,Low,0-60,Credit Card
F00578,Low,High,0-60,Personal Loan
F00579,Low,High,0-60,Personal Loan
F00580,Low,High,0-60,Personal Loan
F00581,Medium,Medium,61-180,Credit Card
F00582,Medium,Low,61-180,Telecom
F00583,Medium,Low,61-180,Credit Card
F00584,Low,Medium,0-60,Credit Card
F00585,Low,Medium,0-60,Telecom
F00586,Medium,High,61-180,Credit Card
F00587,Low,Low,0-60,Personal Loan
F00588,Low,Medium,0-60,Credit Card
F00589,Medium,High,61-180,Credit Card
F00590,Medium,Low,61-180,Credit Card
F00591,Low,High,0-60,Personal Loan
F00592,High,Low,180+,Telecom
F00593,Medium,High,61-180,Personal Loan
F00594,Low,Low,0-60,Personal Loan
F00595,High,Low,180+,Credit Card
F00596,Low,Low,0-60,Personal Loan
F00597,Medium,Low,61-180,Personal Loan
F00598,High,High,180+,Telecom
F00599,High,Medium,180+,Credit Card
F00600,Medium,Low,61-180,Personal Loan
F00601,Low,Low,0-60,Personal Loan
F00602,Low,Low,0-60,Telecom
F00603,Medium,Low,61-180,Credit Card
F00604,Low,High,0-60,Telecom
F00605,Medium,Medium,61-180,Credit Card
F00606,Medium,Medium,61-180,Telecom
F00607,Medium,Medium,61-180,Credit Card
F00608,Low,High,0-60,Personal Loan
F00609,Medium,Medium,61-180,Personal Loan
F00610,Medium,High,61-180,Personal Loan
F00611,Low,High,0-60,Credit Card
F00612,High,Low,180+,Personal Loan
F00613,Low,High,0-60,Telecom
F00614,Medium,Medium,61-180,Telecom
F00615,High,Medium,180+,Telecom
F00616,Low,Medium,0-60,Credit Card
F00617,Low,Low,0-60,Personal Loan
F00618,Medium,Low,61-180,Personal Loan
F00619,Medium,Low,61-180,Personal Loan
F00620,Medium,High,61-180,Credit Card
F00621,Medium,Medium,61-180,Telecom
F00622,Medium,High,61-180,Credit Card
F00623,Low,High,0-60,Credit Card
F00624,High,Medium,180+,Personal Loan
F00625,Low,Low,0-60,Telecom
F00626,Medium,Medium,61-180,Telecom
F00627,Medium,High,61-180,Credit Card
F00628,Low,High,0-60,Credit Card
F00629,Low,Low,0-60,Credit Card
F00630,Medium,High,61-180,Credit Card
F00631,Medium,High,61-180,Personal Loan
F00632,Low,Medium,0-60,Personal Loan
F00633,Medium,Low,61-180,Personal Loan
F00634,High,Medium,180+,Personal Loan
F00635,Medium,Medium,61-180,Credit Card
F00636,Medium,Medium,61-180,Credit Card
F00637,Low,High,0-60,Personal Loan
F00638,Medium,High,61-180,Personal Loan
F00639,Medium,Low,61-180,Telecom
F00640,Low,High,0-60,Telecom
F00641,Medium,Low,61-180,Telecom
F00642,High,Medium,180+,Credit Card
F00643,Medium,Medium,61-180,Telecom
F00644,Medium,High,61-180,Personal Loan
F00645,Low,High,0-60,Personal Loan
F00646,Low,Low,0-60,Credit Card
F00647,Low,High,0-60,Credit Card
F00648,Medium,High,61-180,Personal Loan
F00649,Medium,High,61-180,Credit Card
F00650,Low,Medium,0-60,Credit Card
F00651,Medium,High,61-180,Credit Card
F00652,Low,High,0-60,Credit Card
F00653,Low,Medium,0-60,Credit Card
F00654,Medium,Medium,61-180,Credit Card
F00655,High,Medium,180+,Telecom
F00656,Medium,Medium,61-180,Telecom
F00657,Medium,High,61-180,Credit Card
F00658,Low,High,0-60,Personal Loan
F00659,Medium,High,61-180,Personal Loan
F00660,Low,Low,0-60,Personal Loan
F00661,Medium,Medium,61-180,Credit Card
F00662,Low,High,0-60,Personal Loan
F00663,Medium,High,61-180,Telecom
F00664,High,High,180+,Personal Loan
F00665,Low,Medium,0-60,Credit Card
F00666,High,Medium,180+,Personal Loan
F00667,Low,Medium,0-60,Credit Card
F00668,Low,High,0-60,Credit Card
F00669,Low,Medium,0-60,Credit Card
F00670,Medium,High,61-180,Telecom
F00671,Low,Low,0-60,Personal Loan
F00672,Low,Medium,0-60,Telecom
F00673,Medium,Medium,61-180,Personal Loan
F00674,Medium,High,61-180,Personal Loan
F00675,Medium,Medium,61-180,Credit Card
F00676,Low,Medium,0-60,Personal Loan
F00677,Low,High,0-60,Credit Card
F00678,Low,High,0-60,Telecom
F00679,High,High,180+,Telecom
F00680,Medium,Low,61-180,Credit Card
F00681,Low,High,0-60,Telecom
F00682,Medium,Medium,61-180,Credit Card
F00683,Medium,Low,61-180,Telecom
